Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
168065;0,02;15,3001;1,4528;0,1569;6,9986;268,0167;1,8286;True;True;0,2885;1,1720;-0,5927;342,0497;9,2562;0,5803;-0,2109;0,1563;-0,0643;0,0000;-0,0902;1,1665;-0,6000;347,0159;328,7590;19,0930;-0,0889;0,0131;0,0185;0,0000;
168070;0,04499999;15,2999;1,4690;0,1550;7,1085;268,0832;1,3076;True;True;0,2841;1,1790;-0,5926;342,7789;10,5413;359,4164;0,0296;0,1031;0,1787;0,0000;-0,0903;1,1731;-0,6014;349,9244;329,4381;19,1533;0,0570;0,3505;-0,1263;0,0000;
168075;0,06999999;15,3017;1,4696;0,1521;4,1761;268,5926;1,7338;True;True;0,2888;1,1745;-0,5908;342,9111;13,3124;359,2044;0,3384;-0,4850;0,1509;0,0000;-0,0935;1,1780;-0,6033;347,7041;330,8208;17,5021;-0,4276;0,0032;-0,0154;0,0000;
168080;0,09500001;15,3012;1,4530;0,1457;4,8168;266,2844;1,9945;True;True;0,2908;1,1653;-0,5872;342,7081;13,4221;358,7359;-0,1138;-0,0538;0,0821;0,0000;-0,1006;1,1722;-0,6008;344,5407;327,7596;16,3635;-0,0543;-0,1392;0,1923;0,0000;
168085;0,12;15,2908;1,4715;0,1454;5,9690;273,2317;1,8579;True;True;0,2790;1,1714;-0,5806;344,7456;13,6277;1,7452;-0,4177;0,2030;0,3000;0,0000;-0,1032;1,1730;-0,5876;348,0862;327,2906;12,0188;-0,2994;0,2835;0,2807;0,0000;
168090;0,145;15,2859;1,4625;0,1227;4,0490;267,0312;2,2481;True;True;0,2735;1,1686;-0,5859;347,9116;11,4127;353,8751;-0,3000;-0,5634;-0,0760;0,0000;-0,1157;1,1733;-0,5832;346,3886;327,1993;16,8161;-0,4784;-0,3166;0,2803;0,0000;
168095;0,17;15,2857;1,4433;0,0994;5,0146;260,7292;2,9878;True;True;0,2624;1,1584;-0,5852;341,7103;14,0981;359,7903;-0,6573;-0,0989;0,0548;0,0000;-0,1344;1,1644;-0,5762;339,8701;322,8376;12,4080;-1,0288;-0,4396;0,4395;0,0000;
168100;0,1949999;15,2839;1,4613;0,0738;5,1309;254,1879;2,0016;True;True;0,2441;1,1665;-0,5767;344,4106;16,7449;358,2235;-1,1178;0,5520;0,5633;0,0000;-0,1520;1,1699;-0,5685;346,2903;323,8257;11,2840;-1,3086;0,6868;0,2722;0,0000;
168105;0,2199999;15,2809;1,4546;0,0437;1,4141;244,4304;2,6176;True;True;0,2185;1,1612;-0,5583;346,9074;13,5936;352,1440;-1,1871;-0,7807;0,8595;0,0000;-0,1810;1,1797;-0,5859;344,6112;326,6448;9,6493;-1,4372;-0,0683;-1,4144;0,0000;
168110;0,2449999;15,2874;1,3865;0,0114;3,1608;238,1682;3,3209;True;True;0,1666;1,1303;-0,5462;339,7234;5,9999;353,3164;-2,6052;-0,5073;0,0345;0,0000;-0,2269;1,1537;-0,6352;331,8951;315,0001;8,1555;-1,9880;-0,9166;-1,8940;0,0000;
