Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
83545;0,025;14,5011;1,2555;0,2658;357,3525;271,9453;359,2675;True;True;0,4026;0,9242;0,1586;342,3810;21,9310;357,2044;0,5619;-0,9759;0,2863;0,0000;0,0050;0,9770;0,1686;340,6155;340,4160;11,2602;-0,3059;-0,0061;0,2947;0,0000;
83550;0,04999999;14,4967;1,2403;0,2700;359,4874;271,1696;0,4497;True;True;0,4103;0,9054;0,1675;343,4662;20,8337;357,8953;0,2112;-0,8301;0,4686;0,0000;0,0026;0,9707;0,1792;335,9308;336,2937;10,8524;-0,0096;-0,5360;0,7078;0,0000;
83555;0,075;14,4885;1,2491;0,2731;0,3756;268,1362;1,7560;True;True;0,4072;0,9089;0,1739;343,6138;19,0718;1,4320;-0,0246;0,2001;0,2843;0,0000;0,0116;0,9677;0,1801;340,2993;332,3651;13,1747;0,3264;0,1140;-0,2853;0,0000;
83560;0,1;14,4823;1,2513;0,2735;0,2037;265,6945;1,4648;True;True;0,4176;0,9069;0,1933;346,3816;20,1263;4,3183;0,9036;-0,1479;1,2897;0,0000;0,0193;0,9653;0,1779;344,6241;330,7999;21,6933;0,2609;-0,2207;0,0155;0,0000;
83565;0,125;14,4738;1,2337;0,2697;1,1011;263,6650;2,5065;True;True;0,4264;0,9149;0,2025;341,3894;19,8566;10,4559;-0,0246;0,5998;0,2827;0,0000;0,0162;0,9805;0,1828;340,0652;330,0457;13,7134;-0,1258;1,0582;0,5957;0,0000;
83570;0,15;14,4555;1,2559;0,2540;1,7080;260,3137;2,4798;True;True;0,4069;0,9193;0,2343;335,7538;20,1224;17,7717;-0,9257;-0,3479;1,4737;0,0000;-0,0039;0,9963;0,2266;339,0611;332,0447;2,7110;-1,5292;-0,0878;2,3310;0,0000;
83575;0,175;14,4410;1,2229;0,2317;356,9217;253,0720;2,2081;True;True;0,3834;0,8859;0,2609;340,7669;19,2857;15,7186;-1,3954;-2,2726;1,0631;0,0000;-0,0316;0,9593;0,2640;340,3030;333,6764;18,7281;-1,4082;-2,7316;1,6535;0,0000;
83580;0,1999999;14,4317;1,1731;0,1896;1,6729;244,1175;1,5399;True;True;0,3327;0,8576;0,2709;330,6217;24,2309;21,2491;-3,2377;-0,2260;-0,2863;0,0000;-0,0784;0,9548;0,2061;332,6638;310,9629;13,9534;-2,0373;1,5272;-4,6356;0,0000;
83585;0,2249999;14,4303;1,1759;0,1339;354,8392;228,6810;7,2101;True;True;0,2232;0,8494;0,3026;326,0178;14,0065;13,3788;-4,9425;0,0525;1,0283;0,0000;-0,1888;0,9930;0,1313;326,9227;290,3145;22,3355;-4,7872;2,6322;-1,8343;0,0000;
83590;0,2499999;14,4695;1,1288;0,0471;352,4849;218,2461;6,0498;True;True;0,0584;0,8718;0,3382;314,8995;3,7129;353,3487;-6,3756;1,0083;1,1639;0,0000;-0,3246;1,1319;0,0298;294,4153;233,1716;55,1337;-5,4251;6,7153;-4,2883;0,0000;
83595;0,2749999;14,5174;1,0765;-0,0763;350,6727;212,3986;11,0908;True;True;-0,0816;0,9206;0,3378;312,4537;328,3726;14,2646;-3,7804;1,6657;-2,0760;0,0000;-0,4955;1,3062;-0,0383;302,0038;258,4071;358,7077;-4,2694;4,9562;-3,0670;0,0000;
83600;0,2999999;14,5409;1,1165;-0,2110;348,6207;216,4522;1,4609;True;True;-0,1558;0,9536;0,3151;321,4150;307,5283;47,8083;-3,0991;1,9762;-0,7148;0,0000;-0,5729;1,4075;-0,0791;298,0147;229,6108;19,2250;-3,3379;4,4451;-0,6315;0,0000;
83605;0,3249998;14,5536;1,1903;-0,3462;342,9853;217,8848;2,9257;True;True;-0,2553;1,0014;0,3052;349,9760;323,8011;32,7098;-3,7004;1,9170;-0,8728;0,0000;-0,6606;1,5479;-0,0769;301,1967;195,7505;47,9348;-2,5477;5,2660;1,1024;0,0000;
83610;0,3499998;14,5554;1,2714;-0,4543;342,7421;218,0080;0,8813;True;True;-0,3478;1,0823;0,2902;346,3236;321,2016;28,9502;-2,9520;2,3281;-0,2488;0,0000;-0,8486;1,6688;0,0562;311,2448;201,5374;60,9826;-12,8290;1,2682;9,1081;0,0000;
83615;0,3749998;14,5307;1,2829;-0,5048;345,0135;232,6976;355,8642;True;True;-0,3927;1,1029;0,2833;336,3632;328,3402;27,7808;-1,3087;-0,4210;0,0265;0,0000;-0,9717;1,6049;0,1664;324,9523;243,7942;13,4949;-0,1041;-1,0072;2,6165;0,0000;
83620;0,3999998;14,4998;1,2462;-0,5391;347,8211;259,8610;348,0855;True;True;-0,3932;1,0478;0,2608;334,0825;342,2761;15,9216;1,2941;-3,4760;-1,1465;0,0000;-1,1121;1,4532;0,2768;332,0845;269,1435;356,0633;-3,1900;-6,0319;0,1316;0,0000;
83625;0,4249997;14,4836;1,1433;-0,5560;356,3777;270,4097;353,6924;True;True;-0,3411;0,9040;0,2093;338,2262;10,1853;358,2621;2,9998;-9,7388;-3,8346;0,0000;-1,0759;1,3127;0,3220;305,8417;282,1176;351,4795;3,3132;-9,2387;2,6946;0,0000;
83630;0,4499997;14,4672;1,0728;-0,5546;5,0221;274,8893;350,6216;True;True;-0,3258;0,7740;0,1537;349,4970;19,3733;351,8352;0,3543;-3,3688;-0,6005;0,0000;-0,9585;1,1539;0,2814;294,0627;309,5322;356,6633;4,0811;-6,5038;-2,1403;0,0000;
83635;0,4749997;14,4531;1,0803;-0,4939;358,2477;278,1732;351,4121;True;True;-0,3321;0,7922;0,1436;349,8758;6,9151;351,7726;0,2824;4,1012;0,1292;0,0000;-0,8526;1,0374;0,2439;301,5787;318,5375;356,9342;4,9617;-1,5291;-0,5826;0,0000;
83640;0,4999997;14,4497;1,1673;-0,3963;359,7888;291,1177;356,3789;True;True;-0,2627;0,8872;0,1579;330,4787;12,1639;0,9338;2,7573;2,2305;2,0306;0,0000;-0,7183;1,0289;0,2951;320,6048;349,7557;314,4321;3,4469;-0,4484;3,3402;0,0000;
83645;0,5249997;14,4362;1,1960;-0,3205;356,1364;295,8459;352,2686;True;True;-0,1754;0,9019;0,2127;347,5840;13,2321;354,8423;5,8627;-0,0916;3,1785;0,0000;-0,6189;0,9950;0,3748;348,4574;358,4094;333,3780;6,7786;-1,8121;4,2900;0,0000;
83650;0,5499997;14,4343;1,1751;-0,2396;359,0784;291,4657;356,2729;True;True;-0,0983;0,8823;0,2203;320,9532;30,2473;15,5236;3,5733;-1,1063;0,0460;0,0000;-0,5340;1,0131;0,3628;326,8217;347,9638;353,5037;2,4169;0,3973;-1,5612;0,0000;
83655;0,5749996;14,4394;1,1391;-0,1544;0,7020;286,1042;1,8919;True;True;0,0203;0,8608;0,2103;315,8508;33,5284;21,6489;4,0630;-0,4581;-0,6676;0,0000;-0,4480;0,9754;0,2762;316,2811;333,0352;359,0568;2,5453;-1,8093;-3,1788;0,0000;
83660;0,5999996;14,4478;1,0872;-0,0960;359,7728;271,6987;357,6444;True;True;0,1178;0,8438;0,1904;331,1554;31,0190;11,7520;2,4535;-0,1955;-1,1408;0,0000;-0,3769;0,9482;0,1963;326,5248;336,6980;7,5613;2,2036;0,1217;-2,7837;0,0000;
83665;0,6249996;14,4502;1,1253;-0,0594;1,6391;267,9673;6,2630;True;True;0,1527;0,8448;0,1700;334,0108;18,7087;14,0448;1,3218;0,2514;0,4791;0,0000;-0,3432;0,9422;0,1425;317,5431;324,6684;358,8260;1,5188;-0,8445;-0,5297;0,0000;
83670;0,6499996;14,4389;1,1996;-0,0296;359,9810;260,9880;359,7057;True;True;0,1849;0,8358;0,1968;345,3286;26,8101;15,8235;0,2953;-1,0126;0,7933;0,0000;-0,3088;0,9073;0,1466;343,5482;324,1654;4,7649;1,0838;-1,1565;0,1277;0,0000;
83675;0,6749995;14,4323;1,2298;-0,0140;0,4227;259,6176;1,3815;True;True;0,1834;0,8133;0,2213;3,0239;20,7326;7,8604;-0,5107;-0,7188;0,5102;0,0000;-0,2873;0,8605;0,1573;349,1296;310,4840;12,3728;0,8013;-1,9401;1,1077;0,0000;
83680;0,6999995;14,4305;1,1972;-0,0099;0,8663;253,3187;3,5325;True;True;0,1728;0,7914;0,2296;350,4287;19,2520;21,6847;0,4575;-0,0322;-0,2054;0,0000;-0,2816;0,8605;0,1683;348,1511;322,5451;6,4894;-0,4141;1,4622;0,0317;0,0000;
83685;0,7249995;14,4324;1,1936;-0,0060;8,3737;252,6838;1,8088;True;True;0,1653;0,8262;0,2081;352,1280;19,8740;12,4168;-0,4699;2,0725;-1,1815;0,0000;-0,2811;0,9034;0,1738;353,2069;326,4370;10,8699;0,4697;1,3408;0,4511;0,0000;
83690;0,7499995;14,4208;1,2485;-0,0034;6,8101;255,0212;2,3862;True;True;0,1535;0,8735;0,2007;353,7308;21,9483;13,6283;-0,3381;1,1916;0,1866;0,0000;-0,2651;0,9402;0,1943;350,2519;331,6453;8,2356;0,3720;0,7792;0,9494;0,0000;
83695;0,7749994;14,4207;1,2460;0,0105;2,9983;259,8562;1,9928;True;True;0,1634;0,8847;0,2007;352,4373;15,9125;13,6378;1,0763;-0,0861;-0,0258;0,0000;-0,2607;0,9504;0,2214;348,2327;327,1090;8,4075;0,5180;0,0749;0,9204;0,0000;
83700;0,7999994;14,4219;1,2034;0,0325;2,7667;269,9889;1,7617;True;True;0,2145;0,8904;0,2018;332,7175;26,5119;25,1003;3,2527;1,3281;-0,4528;0,0000;-0,2335;0,9460;0,2483;342,5114;335,2339;0,3441;1,6746;-0,1081;1,0857;0,0000;
83705;0,8249994;14,4222;1,2015;0,0697;6,3166;285,4769;2,5891;True;True;0,2611;0,9305;0,1854;332,4155;35,6808;20,3861;1,8767;1,4276;-0,5506;0,0000;-0,1991;0,9507;0,2700;343,6232;339,7617;11,1584;1,6628;0,3023;1,2508;0,0000;
83710;0,8499994;14,4181;1,2468;0,1074;6,1793;297,3843;1,4611;True;True;0,3211;0,9527;0,1979;329,6566;47,9331;25,8246;2,5041;0,1842;0,4280;0,0000;-0,1520;0,9559;0,3230;343,2293;340,7233;2,9360;1,0038;0,1482;1,4825;0,0000;
83715;0,8749993;14,4204;1,2176;0,1473;2,5127;303,3382;0,5115;True;True;0,3968;0,9520;0,1994;324,0718;54,3616;27,5431;2,7948;-0,3715;0,3929;0,0000;-0,1107;0,9682;0,3484;340,2882;346,8956;8,8145;1,4758;0,3161;0,7578;0,0000;
83720;0,8999993;14,4214;1,1782;0,1713;5,3964;300,7120;2,7539;True;True;0,4387;0,9535;0,2045;310,8387;56,7711;33,0969;1,9806;0,2675;-0,0159;0,0000;-0,0625;0,9834;0,3454;332,8967;352,6688;4,9272;2,7729;0,9717;-0,2359;0,0000;
83725;0,9249993;14,4056;1,2073;0,1909;4,3753;292,3849;1,6790;True;True;0,4385;0,9430;0,2366;317,4459;47,4500;31,1244;0,0301;-0,2203;2,0724;0,0000;-0,0627;0,9845;0,3332;335,8549;344,7492;10,9510;-0,2982;-0,5149;0,2283;0,0000;
83730;0,9499993;14,3938;1,2292;0,1993;0,3367;290,0116;1,9669;True;True;0,4390;0,9429;0,2730;323,8970;54,4838;20,2645;-0,0223;-0,0561;0,6296;0,0000;-0,0778;0,9504;0,3339;345,2005;337,7558;11,7940;-0,8054;-1,4207;-0,4447;0,0000;
83735;0,9749992;14,3893;1,1917;0,1942;2,6195;289,1780;3,5563;True;True;0,4192;0,9335;0,2892;319,4859;53,5861;16,4445;-1,0648;-0,3696;0,6763;0,0000;-0,0788;0,9294;0,3227;339,0435;331,7511;10,0252;0,6645;-0,2059;-0,1764;0,0000;
83740;0,9999992;14,3794;1,1861;0,1761;6,1499;275,5024;3,4975;True;True;0,3817;0,9481;0,2885;319,6654;47,1977;15,1508;-2,2556;0,6219;-0,0872;0,0000;-0,0814;0,9462;0,2981;340,5842;337,1036;8,1293;-0,8755;0,8140;-1,2951;0,0000;
83745;1,024999;14,3629;1,2251;0,1571;5,0872;266,1672;4,1732;True;True;0,3608;0,9490;0,3179;328,5174;44,2237;15,1731;-1,0656;-0,1206;1,3216;0,0000;-0,1151;0,9601;0,3001;345,9410;331,1586;10,2142;-2,5305;0,8810;-0,7965;0,0000;
83750;1,049999;14,3600;1,2090;0,1372;5,0121;259,6806;2,8243;True;True;0,3402;0,9328;0,3256;327,6442;43,6733;9,0342;-0,8722;-0,8148;0,4594;0,0000;-0,1549;0,9679;0,2740;338,7097;324,0660;9,4881;-1,3840;-0,0695;-1,0103;0,0000;
83755;1,074999;14,3618;1,1641;0,1152;5,2460;254,0766;3,7496;True;True;0,3090;0,9229;0,3239;318,6816;43,4219;11,0199;-1,1958;0,4366;-0,2833;0,0000;-0,1897;0,9693;0,2448;331,2390;317,4390;3,8282;-1,0233;0,0581;-0,5148;0,0000;
83760;1,099999;14,3510;1,1940;0,0960;4,5413;256,1765;3,8684;True;True;0,2671;0,9415;0,3379;317,8305;44,3897;9,8991;-1,8717;0,6674;1,4135;0,0000;-0,2208;0,9705;0,2736;337,2367;317,8142;1,6229;-0,9436;-0,2060;2,7189;0,0000;
83765;1,124999;14,3481;1,1870;0,0669;355,7961;258,6230;2,9013;True;True;0,2208;0,9468;0,3675;311,6924;46,6385;10,9585;-1,7274;0,1053;0,3816;0,0000;-0,2343;0,9675;0,3139;332,9215;317,7404;3,1274;0,4718;0,3615;0,6683;0,0000;
83770;1,149999;14,3615;1,1239;0,0122;357,1128;262,9668;3,9690;True;True;0,1438;0,9533;0,4001;295,6650;74,5073;342,6283;-3,3144;0,3320;1,4674;0,0000;-0,2690;0,9963;0,3168;312,7047;317,4996;11,5505;-1,9246;1,0017;-0,1139;0,0000;
83775;1,174999;14,3543;1,0620;-0,0649;1,0550;263,8580;2,5729;True;True;0,0617;0,9619;0,4348;297,4116;58,7610;346,8559;-2,7844;0,0226;0,4886;0,0000;-0,3106;1,0176;0,3485;307,7769;341,7925;344,6680;-1,5312;0,4140;2,2436;0,0000;
83780;1,199999;14,3418;1,0922;-0,1380;1,1105;262,2203;359,0996;True;True;-0,0103;0,9738;0,4498;290,0617;43,8901;19,5218;-1,0990;-0,0392;0,8338;0,0000;-0,3517;1,0438;0,4125;322,5493;352,1357;347,7477;-0,6193;0,3661;2,3006;0,0000;
83785;1,224999;14,3070;1,1461;-0,1887;2,2447;264,6191;0,6024;True;True;-0,0653;0,9431;0,4929;300,1137;42,3118;21,1334;-3,0948;-0,4324;2,9074;0,0000;-0,3780;1,0143;0,4948;332,1725;347,9201;348,1245;0,0810;-0,9591;2,1539;0,0000;
83790;1,249999;14,2515;1,1520;-0,2375;352,1850;260,9278;0,1952;True;True;-0,1401;0,9411;0,5681;307,0762;89,4739;328,4817;-3,3773;-0,5614;3,6181;0,0000;-0,4112;0,9999;0,5621;316,7987;326,1817;12,1437;-2,1067;-1,2057;2,5823;0,0000;
83795;1,274999;14,2001;1,0470;-0,2839;354,5274;262,1065;359,5385;True;True;-0,2302;0,9165;0,6805;305,0789;92,3865;322,5616;-2,9833;-0,6325;2,6918;0,0000;-0,4551;0,9588;0,6403;308,9745;302,1010;36,6926;-1,2751;-1,7315;2,4819;0,0000;
83800;1,299999;14,1693;0,9507;-0,3340;358,4128;261,8319;2,6844;True;True;-0,3272;0,9373;0,7379;287,4299;98,1349;320,9951;-3,0238;1,3072;-0,2182;0,0000;-0,4818;0,9765;0,6638;302,9805;311,2441;31,8190;-0,8567;1,7327;-0,4825;0,0000;
83805;1,324999;14,1487;0,9127;-0,3816;359,8398;259,9457;1,1151;True;True;-0,3711;0,9867;0,7558;291,0100;94,4930;318,9532;-1,4149;2,6719;1,8106;0,0000;-0,5216;1,0106;0,7003;305,7702;320,5826;22,1900;-2,5908;1,8585;2,4027;0,0000;
83810;1,349999;14,1319;0,9310;-0,4191;359,0755;261,1884;0,9940;True;True;-0,4049;1,0530;0,7639;293,6586;107,5554;311,3839;-1,4067;2,8195;1,0723;0,0000;-0,5336;1,0646;0,7490;304,0107;327,1208;0,8302;-1,0090;2,3276;0,7604;0,0000;
83815;1,374999;14,1165;0,9697;-0,4408;355,5046;262,7948;0,1884;True;True;-0,4554;1,1319;0,8164;288,9009;90,8522;327,3427;-4,3433;4,9818;3,6548;0,0000;-0,5664;1,1326;0,8323;319,8132;329,0166;12,6736;-5,6061;4,2578;5,4615;0,0000;
83820;1,399999;14,0928;1,0150;-0,4526;353,9428;262,6714;359,8712;True;True;-0,5181;1,1575;0,9397;286,5482;29,3506;40,2552;-4,8757;-0,1647;7,6424;0,0000;-0,6030;1,1588;0,9635;329,2583;325,6950;351,0193;-3,0884;-0,1094;10,1883;0,0000;
83825;1,424999;14,0769;1,0570;-0,4319;356,7431;263,9673;359,8419;True;True;-0,5203;1,0504;1,0250;358,6100;13,9892;63,9519;-1,0882;-4,2679;-1,3098;0,0000;-0,6799;1,1078;0,9903;352,7563;313,3663;316,0257;-3,2650;2,0748;-0,6695;0,0000;
83830;1,449999;14,0764;1,0645;-0,3851;354,6981;265,6352;356,3004;True;True;-0,5166;1,0473;0,9324;324,5588;354,7386;54,7615;1,2640;-2,3082;-4,2921;0,0000;-0,6308;1,0698;0,9565;351,1349;333,3107;337,0677;2,5725;-3,0705;-1,8947;0,0000;
83835;1,474999;14,0842;1,0554;-0,3158;0,3319;266,8434;358,4804;True;True;-0,4204;0,9596;0,7869;328,1375;322,5063;83,0129;5,0018;-2,7405;-5,1931;0,0000;-0,5682;0,9964;0,8212;339,0561;349,2586;329,1520;2,0784;-2,9414;-6,1505;0,0000;
83840;1,499999;14,0819;1,1002;-0,2369;2,0521;265,9914;0,1445;True;True;-0,2684;0,9044;0,6436;328,8279;308,8174;84,5082;5,4661;-1,2042;-4,6192;0,0000;-0,5128;0,9114;0,6734;341,2892;349,2757;343,4890;2,3469;-3,1234;-3,5148;0,0000;
83845;1,524999;14,0804;1,1792;-0,1787;2,5857;268,0371;1,3199;True;True;-0,1553;0,9130;0,5635;344,4570;312,9000;57,5904;2,4831;0,8250;-0,8762;0,0000;-0,4229;0,8805;0,6061;3,4789;355,7920;351,2761;2,5229;0,1168;-1,3240;0,0000;
83850;1,549999;14,0860;1,2583;-0,1377;2,2402;263,4237;0,7315;True;True;-0,0872;0,9097;0,5444;355,2336;333,7175;36,7958;2,3473;-0,7159;-0,5550;0,0000;-0,3484;0,8926;0,5830;9,8140;355,4366;3,9836;2,0414;0,3593;-0,2888;0,0000;
83855;1,574999;14,0999;1,2668;-0,1030;2,1233;258,6122;359,5569;True;True;-0,0038;0,8892;0,5164;0,3279;349,5580;16,8218;5,4179;-1,4544;-2,2616;0,0000;-0,2897;0,8911;0,5544;10,0158;348,2250;7,9744;4,0516;-0,6077;-1,9567;0,0000;
83860;1,599999;14,1211;1,2349;-0,0514;5,1239;259,8460;359,0468;True;True;0,0727;0,8583;0,4901;358,8607;359,2498;12,3080;2,9979;-1,0928;-0,6206;0,0000;-0,2331;0,8742;0,5275;6,5572;355,3755;9,9210;1,9340;-0,5649;-0,9525;0,0000;
83865;1,624999;14,1387;1,2005;0,0185;6,1653;268,2875;358,6459;True;True;0,1570;0,8418;0,4681;356,0589;7,2808;8,2445;2,5951;-0,1423;-0,6978;0,0000;-0,1826;0,8586;0,5071;3,4203;355,7313;8,8542;1,5512;-0,1657;-0,6332;0,0000;
83870;1,649999;14,1615;1,1747;0,1002;4,9615;286,4999;1,4270;True;True;0,2368;0,8426;0,4627;351,9014;1,4668;9,2292;2,7800;0,1040;-0,0146;0,0000;-0,1362;0,8586;0,4892;351,7724;347,5701;3,8359;1,5075;-0,0347;-0,8697;0,0000;
83875;1,674999;14,1774;1,1632;0,1653;4,4714;296,4960;3,4798;True;True;0,3118;0,8570;0,4697;348,7758;357,9228;12,2491;2,0601;1,0426;0,3474;0,0000;-0,0794;0,8471;0,4793;350,6559;342,6507;16,6359;2,4486;-0,1303;0,4291;0,0000;
83880;1,699999;14,1789;1,1855;0,1974;4,0609;293,8114;4,0404;True;True;0,3492;0,8879;0,4713;349,5284;1,3989;17,6660;1,1794;1,1758;0,2186;0,0000;-0,0355;0,8655;0,4902;354,1273;343,5382;34,3742;1,5264;0,9171;0,7140;0,0000;
83885;1,724999;14,1793;1,2278;0,2148;5,0268;288,9456;5,3824;True;True;0,3747;0,9159;0,4847;350,0765;7,4718;18,9343;0,5071;0,7201;0,4974;0,0000;-0,0109;0,8958;0,5094;354,4689;340,0318;22,8337;-0,2655;1,3171;0,0059;0,0000;
83890;1,749999;14,1800;1,2296;0,2093;2,3529;274,5000;4,6490;True;True;0,3843;0,9163;0,4978;343,3252;11,0380;22,4572;0,1489;-0,4512;0,2534;0,0000;-0,0345;0,9291;0,4984;350,6908;338,9931;23,8866;-1,2295;0,9845;-0,9151;0,0000;
83895;1,774999;14,1863;1,2035;0,2063;6,5620;264,5052;4,2415;True;True;0,3817;0,8991;0,5114;338,8810;11,2299;23,4252;-0,5217;-0,4191;0,5927;0,0000;-0,0727;0,9414;0,4778;341,8637;328,7017;17,6106;-1,2262;0,2179;-0,1087;0,0000;
83900;1,799999;14,1807;1,2047;0,2018;5,7212;265,4724;5,7466;True;True;0,3637;0,9104;0,5150;336,2532;12,8122;20,0491;-0,6313;0,5575;0,1047;0,0000;-0,0943;0,9470;0,4740;346,1035;328,3326;13,6498;-0,6140;0,3331;-0,2223;0,0000;
83905;1,824998;14,1801;1,2081;0,1877;5,2774;264,5258;4,3276;True;True;0,3491;0,9217;0,5207;336,2000;15,4669;16,2641;-0,5078;0,2207;0,0638;0,0000;-0,1039;0,9623;0,4774;342,6770;328,6744;11,8181;-0,5155;0,6227;0,0566;0,0000;
83910;1,849998;14,1828;1,2126;0,1680;7,5002;265,4501;3,3180;True;True;0,3268;0,9303;0,5247;331,6561;16,6401;20,8211;-1,0362;0,4784;0,4879;0,0000;-0,1299;0,9879;0,4721;338,0706;325,8488;17,5907;-1,1349;0,7503;0,1183;0,0000;
83915;1,874998;14,1812;1,2338;0,1547;6,8017;267,2836;2,3374;True;True;0,3047;0,9492;0,5434;334,2249;20,5090;16,6689;-0,7347;0,6204;0,7846;0,0000;-0,1603;0,9964;0,4742;343,9133;323,2782;14,1885;-0,7501;-0,0640;-0,2225;0,0000;
83920;1,899998;14,1854;1,2369;0,1472;5,4567;272,1443;2,9552;True;True;0,2885;0,9584;0,5599;333,0253;22,3764;16,0916;-0,3996;0,0180;0,2096;0,0000;-0,1747;0,9888;0,4545;343,7564;323,1775;11,7463;-0,3338;-0,4596;-1,0892;0,0000;
