Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
74020;0,02;14,3003;1,3891;0,1732;4,5741;268,3584;1,9608;True;True;0,4876;1,2998;0,3877;302,1404;74,0493;348,1215;0,0847;-0,3081;-0,3299;0,0000;-0,2118;1,3517;0,3366;295,0587;291,8252;9,9026;0,3434;-0,2362;0,2543;0,0000;
74025;0,04499999;14,2996;1,3887;0,1735;4,5826;268,4546;1,5459;True;True;0,4904;1,2929;0,3833;303,0244;76,1452;349,1423;0,1557;-0,2754;-0,2181;0,0000;-0,2094;1,3460;0,3399;295,3878;292,4431;11,2256;-0,0107;-0,2080;0,1475;0,0000;
74030;0,06999999;14,2981;1,3883;0,1719;4,5270;268,7440;1,4672;True;True;0,4957;1,2867;0,3817;305,5526;76,6216;349,2498;0,2997;-0,2366;0,1247;0,0000;-0,2127;1,3408;0,3455;295,9598;294,2972;9,2910;-0,2916;-0,2479;0,3399;0,0000;
74035;0,09500001;14,2938;1,3893;0,1659;3,7801;266,4932;1,2751;True;True;0,4935;1,2818;0,3883;304,7697;73,4369;352,8075;-0,1737;-0,0705;0,4496;0,0000;-0,2191;1,3357;0,3552;297,0811;296,7720;5,1942;-0,1081;-0,2541;0,4606;0,0000;
74040;0,12;14,2856;1,3899;0,1592;3,5138;265,4676;2,2471;True;True;0,4824;1,2801;0,4019;303,7817;71,5562;353,4489;-0,4819;-0,0432;0,5799;0,0000;-0,2264;1,3309;0,3648;298,9209;300,1202;0,7959;-0,4887;-0,1205;0,1666;0,0000;
74045;0,145;14,2736;1,3925;0,1523;2,5785;264,2131;2,6855;True;True;0,4658;1,2765;0,4197;303,3447;70,2972;354,3265;-0,6967;-0,1664;0,5268;0,0000;-0,2380;1,3257;0,3714;302,9920;298,0418;3,5414;-0,2739;-0,2562;0,2536;0,0000;
74050;0,17;14,2653;1,3908;0,1490;3,5272;266,2156;1,5223;True;True;0,4517;1,2740;0,4227;301,6853;74,7040;350,8904;-0,3526;-0,0823;-0,1189;0,0000;-0,2479;1,3236;0,3838;307,2484;305,9291;356,1186;-0,4099;0,1243;0,3037;0,0000;
74055;0,1949999;14,2612;1,3911;0,1479;3,5715;270,4374;0,9118;True;True;0,4445;1,2712;0,4243;303,7964;71,6890;351,4424;-0,4322;-0,1607;0,2089;0,0000;-0,2567;1,3273;0,3894;305,9104;305,2148;358,4234;-0,5515;0,2201;0,4226;0,0000;
74060;0,2199999;14,2591;1,3918;0,1427;3,4050;270,6673;0,4702;True;True;0,4374;1,2703;0,4293;302,8505;69,6376;356,3506;-0,4123;0,0111;0,2473;0,0000;-0,2550;1,3299;0,3967;304,4544;305,4535;356,7675;0,2259;0,1609;0,4681;0,0000;
74065;0,2449999;14,2565;1,3936;0,1413;1,8603;268,7267;359,9672;True;True;0,4334;1,2744;0,4306;300,3028;73,3085;353,6075;-0,2101;0,2403;0,1882;0,0000;-0,2469;1,3313;0,4016;303,0540;301,3697;0,7983;0,4825;0,0670;0,2978;0,0000;
74070;0,2699999;14,2529;1,3936;0,1501;1,5626;269,6628;0,4328;True;True;0,4292;1,2806;0,4371;297,3140;80,3795;346,3108;-0,1672;0,2727;0,1808;0,0000;-0,2293;1,3311;0,4136;304,6467;302,6730;6,4870;0,5244;-0,1557;0,6764;0,0000;
74075;0,2949999;14,2486;1,3601;0,1669;355,5429;270,6972;358,3969;True;True;0,4297;1,2766;0,4419;296,0312;102,2697;320,5695;0,0735;-0,3337;0,3186;0,0000;-0,2192;1,3170;0,4423;305,4256;305,6133;12,8235;0,2586;-0,8711;1,2319;0,0000;
74080;0,3199998;14,2490;1,3272;0,2135;358,9621;271,4265;359,3366;True;True;0,4474;1,2902;0,4801;300,4438;135,1589;288,1667;1,2097;1,2240;1,8526;0,0000;-0,2270;1,3101;0,4538;310,3172;296,5063;19,9866;-0,5026;0,1958;-0,2606;0,0000;
74085;0,3449998;14,2448;1,3211;0,2920;359,4166;271,4910;359,5289;True;True;0,4874;1,3484;0,5519;307,6504;144,7017;276,4659;1,1642;2,5482;3,3052;0,0000;-0,2153;1,3208;0,4108;316,5004;289,3991;27,8586;1,4382;0,3187;-2,0197;0,0000;
74090;0,3699998;14,2375;1,3472;0,3876;357,0665;272,6275;0,6020;True;True;0,5190;1,4056;0,6571;298,4358;135,5979;280,9617;1,7331;1,7447;3,6956;0,0000;-0,1665;1,3173;0,3539;316,9712;282,6724;17,2404;1,3196;-0,6051;-2,0276;0,0000;
74095;0,3949998;14,2343;1,3274;0,4627;354,8903;273,6025;2,3751;True;True;0,5933;1,4708;0,7741;294,0009;120,2885;302,4143;6,7235;5,1463;8,0622;0,0000;-0,0908;1,3117;0,2843;319,8824;276,8120;9,5235;5,3114;0,0371;-4,9331;0,0000;
74100;0,4199997;14,2247;1,3212;0,5327;354,7842;271,5182;7,6541;True;True;0,6902;1,4754;0,9025;307,0626;56,5934;21,1219;1,5066;-2,5661;4,9929;0,0000;-0,0360;1,3207;0,2370;319,4589;275,0532;3,5533;1,6682;0,2535;-1,5039;0,0000;
74105;0,4449997;14,2195;1,3684;0,5681;358,9185;271,3203;5,8977;True;True;0,8013;1,4682;0,8783;320,8737;60,6382;3,5398;3,9150;0,0479;-2,6795;0,0000;-0,0096;1,3346;0,2250;323,7939;279,5715;359,6020;0,1866;0,5411;0,2034;0,0000;
74110;0,4699997;14,2153;1,4121;0,5794;357,5104;275,2685;4,7248;True;True;0,8774;1,4651;0,8114;303,4404;76,2342;3,6466;2,2126;0,5719;-5,6408;0,0000;-0,0084;1,3443;0,2262;327,6711;282,3962;357,8952;-0,1583;0,1729;0,5588;0,0000;
74115;0,4949997;14,2128;1,3854;0,5845;356,5811;278,5264;2,0040;True;True;0,9331;1,4586;0,6404;297,9886;99,7194;331,3260;1,6965;-0,9192;-6,1127;0,0000;0,0120;1,3742;0,2408;318,5289;283,2925;354,1075;1,3620;1,2122;0,8060;0,0000;
74120;0,5199997;14,2166;1,3516;0,5934;4,2704;279,2137;3,3025;True;True;0,9564;1,4211;0,5200;295,5964;100,4925;333,4920;0,6931;-1,5122;-4,1811;0,0000;0,0553;1,3894;0,2666;311,2356;288,3970;5,7306;1,6294;0,0903;1,0925;0,0000;
74125;0,5449997;14,2157;1,3476;0,6184;5,0344;278,5245;2,2029;True;True;0,9704;1,3935;0,4295;292,6343;102,8565;327,7116;-0,1134;-0,4405;-1,8605;0,0000;0,0999;1,3866;0,3111;313,1862;292,1575;21,8669;1,4248;-0,1497;1,7195;0,0000;
74130;0,5699996;14,2120;1,3730;0,6506;3,3669;280,0581;4,3266;True;True;0,9660;1,4114;0,4144;283,4896;94,3934;335,8808;0,0412;1,5416;0,0345;0,0000;0,1274;1,4082;0,3559;317,9743;288,8084;29,3937;0,8986;1,2424;1,6068;0,0000;
74135;0,5949996;14,2149;1,3945;0,6672;3,1436;280,9649;3,6062;True;True;0,9734;1,4653;0,4143;281,0387;88,9572;342,9126;0,4363;1,8731;0,1753;0,0000;0,1681;1,4509;0,4055;312,5357;297,6985;9,2299;1,5042;1,5776;1,1757;0,0000;
74140;0,6199996;14,2221;1,4031;0,6694;1,4150;279,5877;2,8562;True;True;0,9903;1,5034;0,4103;285,1218;93,6136;337,1368;0,9688;1,9078;-0,4099;0,0000;0,1905;1,4934;0,4133;306,5507;292,5911;16,2078;1,1998;2,5486;0,2931;0,0000;
74145;0,6449996;14,2363;1,3931;0,6694;2,1468;279,1259;1,9002;True;True;1,0041;1,5086;0,4048;288,5650;103,3764;332,6073;0,4990;-0,0325;-0,4793;0,0000;0,2085;1,5170;0,4028;298,9767;281,9423;23,8105;0,6177;0,6297;-0,4394;0,0000;
74150;0,6699995;14,2511;1,3874;0,6700;3,3337;274,9808;2,0142;True;True;1,0172;1,4975;0,3932;291,4116;95,9202;334,2191;0,6794;-0,6539;-0,2402;0,0000;0,2246;1,5130;0,3842;299,4189;282,4150;24,5033;0,6454;-0,6720;-0,7604;0,0000;
74155;0,6949995;14,2653;1,3713;0,6796;3,3130;268,5538;1,6786;True;True;1,0285;1,4888;0,3967;288,8533;89,7666;342,6825;0,2071;0,0608;0,2046;0,0000;0,2437;1,4900;0,3514;297,8214;279,4269;22,5403;0,5535;-0,8491;-1,4200;0,0000;
74160;0,7199995;14,2709;1,3536;0,6900;2,3691;266,4368;3,5243;True;True;1,0373;1,4985;0,3958;284,9134;104,9679;328,1417;0,5759;0,6842;-0,0159;0,0000;0,2564;1,4740;0,3117;296,6901;272,6313;24,1892;0,5988;-0,7457;-2,2626;0,0000;
74165;0,7449995;14,2717;1,3638;0,6951;2,9301;264,2396;4,9267;True;True;1,0341;1,5092;0,3993;284,1355;100,5867;329,8557;-0,2846;0,2887;0,2076;0,0000;0,2470;1,4738;0,2980;301,7166;282,1410;14,1447;-0,5655;0,1301;-0,2941;0,0000;
74170;0,7699994;14,2754;1,3899;0,6849;2,7796;261,4648;4,7233;True;True;1,0209;1,5107;0,4014;282,3673;98,3270;335,8120;-0,6749;-0,2690;-0,2281;0,0000;0,2319;1,4830;0,2949;301,5309;279,3017;18,6550;-0,5917;0,4380;0,2584;0,0000;
74175;0,7949994;14,2864;1,3689;0,6672;1,6670;259,8835;4,0228;True;True;0,9987;1,4951;0,3851;282,7207;95,6137;337,0437;-0,9074;-0,8147;-0,8283;0,0000;0,2288;1,4910;0,2899;298,2041;279,9668;18,8961;0,1495;0,1828;-0,4949;0,0000;
74180;0,8199994;14,2978;1,3422;0,6440;4,5539;259,5620;3,0689;True;True;0,9732;1,4747;0,3659;285,3096;96,4304;332,2127;-0,7479;-0,5034;-0,3201;0,0000;0,2264;1,4954;0,2799;294,3990;279,1362;21,8044;-0,5161;0,2420;-0,0909;0,0000;
74185;0,8449994;14,2980;1,3736;0,6271;4,4876;260,2897;2,2212;True;True;0,9518;1,4667;0,3709;285,5674;81,1074;347,3981;-1,2410;-0,0319;0,6686;0,0000;0,1921;1,5057;0,2946;297,7243;286,2416;23,4873;-2,4756;1,0184;1,5111;0,0000;
74190;0,8699993;14,2971;1,4156;0,6119;2,2861;262,5715;2,1455;True;True;0,9343;1,4739;0,3746;283,6990;76,8836;355,9401;-0,6089;0,0875;-0,1913;0,0000;0,1682;1,5155;0,3044;298,9827;289,9023;12,7098;-0,6881;0,1536;-0,1749;0,0000;
74195;0,8949993;14,3052;1,4038;0,5994;0,6881;264,9179;2,4644;True;True;0,9129;1,4710;0,3676;281,8713;70,3220;3,5808;-0,7911;-0,3414;-0,5151;0,0000;0,1677;1,5095;0,2851;298,1683;288,9440;11,5854;0,4669;-0,6325;-0,9231;0,0000;
74200;0,9199993;14,3194;1,3566;0,5876;4,1892;264,6436;2,1036;True;True;0,8985;1,4566;0,3534;281,1623;80,0351;353,0831;-0,4106;-0,4320;-0,2155;0,0000;0,1726;1,4952;0,2679;294,9301;294,2891;4,5222;-0,2068;-0,1050;-0,2962;0,0000;
74205;0,9449993;14,3244;1,3641;0,5784;6,2718;265,3957;1,3730;True;True;0,9007;1,4477;0,3400;285,4279;79,1214;351,5043;0,4100;-0,0943;-0,3217;0,0000;0,1634;1,5036;0,2704;295,7822;294,8960;9,4312;-0,4164;0,7771;0,6669;0,0000;
74210;0,9699993;14,3288;1,3969;0,5735;5,5962;266,9628;359,4372;True;True;0,9043;1,4559;0,3408;285,8896;82,5927;356,1760;-0,0170;0,4976;-0,2470;0,0000;0,1607;1,5398;0,2860;293,7034;303,0727;354,1219;0,1912;1,3683;-0,1238;0,0000;
74215;0,9949992;14,3383;1,3911;0,5731;5,7160;268,2485;0,4242;True;True;0,9024;1,4640;0,3302;283,5983;89,1653;351,0294;-0,1492;0,3395;-0,6170;0,0000;0,1681;1,5641;0,2743;290,8322;300,4532;356,7635;0,5719;1,2567;-0,7718;0,0000;
74220;1,019999;14,3473;1,3771;0,5741;5,9772;269,6006;1,2092;True;True;0,8968;1,4614;0,3197;281,8590;100,5110;340,2109;-0,2115;-0,1209;-0,3414;0,0000;0,1708;1,5580;0,2541;288,8160;283,8035;12,7695;-0,1652;-0,5880;-0,7053;0,0000;
74225;1,044999;14,3513;1,3745;0,5764;6,1110;272,2187;3,0145;True;True;0,8905;1,4576;0,3168;282,0361;102,8092;335,1519;-0,2572;-0,0036;0,1103;0,0000;0,1605;1,5343;0,2455;293,3128;285,4241;14,8127;-0,5445;-0,9148;-0,0821;0,0000;
74230;1,069999;14,3503;1,3792;0,5696;4,0795;273,1649;3,7172;True;True;0,8759;1,4651;0,3287;280,0804;100,6762;337,7683;-0,7052;0,3318;0,5770;0,0000;0,1374;1,5155;0,2488;296,4903;286,4283;12,2539;-0,8372;-0,5316;0,3897;0,0000;
74235;1,094999;14,3514;1,3725;0,5509;4,5210;272,3905;3,7403;True;True;0,8550;1,4682;0,3384;279,7686;95,9967;342,8951;-0,8201;-0,1757;0,1437;0,0000;0,1162;1,5089;0,2536;296,2098;289,2051;7,2071;-0,7532;0,1097;-0,0452;0,0000;
74240;1,119999;14,3516;1,3594;0,5279;4,1506;273,5688;3,2756;True;True;0,8305;1,4534;0,3420;280,9605;89,0041;351,4019;-0,7358;-0,6081;0,0745;0,0000;0,1025;1,5124;0,2601;292,5751;289,7091;5,2981;-0,3530;0,1791;0,4052;0,0000;
74245;1,144999;14,3444;1,3817;0,5149;6,4216;278,1546;3,1589;True;True;0,8156;1,4296;0,3620;286,0443;75,2746;359,9699;-0,4837;-1,3815;1,3878;0,0000;0,0897;1,5053;0,2804;296,1473;296,1368;359,6497;-0,0198;-0,9429;1,2310;0,0000;
74250;1,169999;14,3294;1,3711;0,5150;358,8307;283,5663;2,1615;True;True;0,8084;1,3574;0,3902;291,5424;136,6935;310,6861;-1,6131;-5,5966;1,5806;0,0000;0,1020;1,4601;0,3219;291,2520;301,8677;0,3260;1,0265;-2,8332;2,5252;0,0000;
74255;1,194999;14,3393;1,2953;0,5268;3,6657;283,1449;3,8318;True;True;0,7407;1,2842;0,4436;288,2125;137,8929;302,0462;-4,7527;-4,2186;3,2730;0,0000;0,1094;1,4196;0,3439;306,9878;292,5872;38,0709;0,4919;-2,2521;1,1470;0,0000;
74260;1,219999;14,3298;1,2508;0,5642;2,9382;280,6480;2,1594;True;True;0,7456;1,2600;0,5019;293,1745;141,9653;285,7923;1,3556;-0,5417;3,4834;0,0000;0,1300;1,3600;0,3374;309,1945;288,1104;39,5413;0,5060;-2,2659;0,0546;0,0000;
74265;1,244999;14,2930;1,2383;0,6197;3,2180;277,0799;5,4588;True;True;0,7679;1,2478;0,6148;291,1530;134,1136;292,4202;0,1816;-0,7009;5,1031;0,0000;0,1366;1,2908;0,2997;312,6946;282,9735;27,7457;0,5868;-2,1825;-1,6621;0,0000;
74270;1,269999;14,2548;1,2081;0,6694;1,1638;276,2844;6,2225;True;True;0,7817;1,2178;0,7520;279,9081;114,2314;318,9294;0,9002;-0,8434;4,4612;0,0000;0,1330;1,2358;0,2588;315,2520;272,5015;18,5889;-0,8599;-1,7885;-1,0144;0,0000;
74275;1,294999;14,2303;1,1962;0,7013;358,1314;273,3743;5,3734;True;True;0,8244;1,1955;0,8827;297,4868;68,5249;14,7318;-0,7279;-2,2000;5,5926;0,0000;0,1215;1,2126;0,2586;321,8504;270,4364;13,3031;-0,4783;0,0041;0,4107;0,0000;
74280;1,319999;14,2273;1,2566;0,7098;1,8275;271,1254;4,3093;True;True;0,8063;1,0344;0,9548;343,5471;29,0444;96,4848;1,8412;0,8837;-5,1672;0,0000;0,1117;1,2261;0,2802;334,7954;272,6589;21,8024;0,5819;1,2597;1,0516;0,0000;
74285;1,344999;14,2442;1,3473;0,6981;1,6895;269,9282;358,9153;True;True;0,6967;1,0132;0,8668;340,3919;354,2883;94,0709;-2,1131;1,0646;-3,6205;0,0000;0,0965;1,2790;0,3006;342,7437;281,4085;20,8592;-1,1793;3,0833;-0,9130;0,0000;
74290;1,369999;14,2698;1,3622;0,6815;359,3999;265,7407;4,2690;True;True;0,6520;1,0915;0,7247;333,9417;346,0921;60,6492;-1,9810;3,5105;-8,7986;0,0000;0,1371;1,4249;0,2855;312,9744;277,1234;17,3562;3,7562;8,5211;-0,3581;0,0000;
74295;1,394999;14,3076;1,3397;0,6457;3,0773;266,1235;2,2150;True;True;0,6560;1,1249;0,6019;325,7682;342,6154;59,9749;0,6337;1,1509;-4,5322;0,0000;0,1791;1,4879;0,2688;295,9191;257,7558;30,6927;0,7376;1,3964;-0,8364;0,0000;
74300;1,419999;14,3352;1,3175;0,5993;7,6361;267,7164;4,5015;True;True;0,6841;1,1540;0,4801;309,9168;345,1035;58,5914;1,4301;0,9819;-3,3664;0,0000;0,1907;1,5037;0,2646;299,9070;274,9977;37,5888;0,4004;-0,2190;0,3089;0,0000;
74305;1,444999;14,3507;1,3214;0,5498;8,3834;267,3466;0,9837;True;True;0,7275;1,1984;0,3883;296,4871;17,6216;37,5930;1,1948;2,0078;-2,8232;0,0000;0,1884;1,4994;0,2781;291,3710;288,9300;29,2159;-0,5165;0,2433;0,7963;0,0000;
