Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
135535;0,025;14,8325;1,3861;0,0998;13,1905;265,3689;355,2660;True;True;0,2825;1,1339;-0,1475;335,1337;40,4702;19,0403;-1,2726;-0,1098;0,4295;0,0000;-0,1477;1,1274;-0,2192;315,6937;285,8451;356,9623;-0,4925;0,0115;-0,5293;0,0000;
135540;0,04999999;14,8350;1,3849;0,0885;13,3096;254,9200;354,7680;True;True;0,2536;1,1325;-0,1355;332,8956;33,7235;21,0896;-0,6805;0,0350;0,4096;0,0000;-0,1571;1,1281;-0,2379;314,9765;281,8526;357,0026;-0,1856;0,0136;-0,6375;0,0000;
135545;0,075;14,8371;1,3845;0,0849;13,4249;250,3371;353,9865;True;True;0,2403;1,1363;-0,1255;333,6173;32,4690;18,7346;-0,5336;0,3001;0,4609;0,0000;-0,1651;1,1283;-0,2554;314,9078;276,5370;357,7350;-0,4777;-0,0541;-0,8444;0,0000;
135550;0,1;14,8338;1,3827;0,0818;14,1127;249,8664;355,5154;True;True;0,2333;1,1392;-0,1202;333,4162;29,1835;19,9372;-0,1078;-0,0490;0,4273;0,0000;-0,1759;1,1243;-0,2576;313,2524;271,8076;356,2986;-0,6328;-0,1031;-0,1341;0,0000;
135555;0,125;14,8214;1,3753;0,0753;12,2369;250,3763;353,8268;True;True;0,2219;1,1213;-0,1049;329,2746;29,1985;23,7330;-0,1120;-0,7674;0,7129;0,0000;-0,1937;1,1159;-0,2589;315,9783;266,1825;359,7562;-0,7877;-0,6472;0,4735;0,0000;
135560;0,15;14,8133;1,3643;0,0686;12,5147;264,2921;355,5647;True;True;0,2092;1,1128;-0,1132;326,2687;37,3189;19,5296;-0,7104;-0,2909;-0,3987;0,0000;-0,2279;1,0998;-0,2491;313,2087;261,3336;3,9314;-1,5549;-0,7228;0,6782;0,0000;
135565;0,175;14,8139;1,3448;0,0478;12,6895;268,4990;353,4736;True;True;0,1766;1,0956;-0,1091;323,3216;40,1309;21,2343;-1,3906;-0,7005;-0,0030;0,0000;-0,2652;1,0879;-0,2285;311,9655;269,3720;356,8888;-0,7196;-0,2962;-0,0541;0,0000;
135570;0,1999999;14,8087;1,3534;0,0283;13,5403;265,1122;353,4621;True;True;0,1484;1,0853;-0,1045;330,1208;40,4151;19,6625;-0,6228;0,1024;-0,2903;0,0000;-0,2886;1,0915;-0,2250;311,1087;270,7389;351,7192;-0,2999;0,7077;-0,5021;0,0000;
135575;0,2249999;14,8068;1,3599;0,0252;13,6663;271,4041;352,3919;True;True;0,1552;1,0932;-0,1167;329,6666;45,9220;16,5861;1,0739;0,3119;-0,6380;0,0000;-0,2924;1,0939;-0,2251;310,8513;271,5330;355,5213;-0,1560;-0,3571;0,8357;0,0000;
135580;0,2499999;14,8087;1,3560;0,0425;14,5288;281,8546;351,7370;True;True;0,2086;1,0932;-0,1418;332,0418;60,6853;10,1729;1,4754;-0,4524;-0,8132;0,0000;-0,2630;1,0717;-0,1975;307,1857;281,5075;349,3519;1,7939;-1,0619;1,4042;0,0000;
135585;0,2749999;14,8143;1,3486;0,0797;15,1180;286,1509;354,5389;True;True;0,2574;1,0836;-0,1561;332,0860;61,5933;11,6476;1,9627;-0,1613;-0,5254;0,0000;-0,2026;1,0577;-0,1695;305,9743;294,7593;340,6469;2,2896;0,1651;0,2589;0,0000;
