Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
141070;0,025;14,6277;1,4183;0,1314;12,8736;263,4635;355,0135;True;True;0,1921;1,1535;0,0363;345,6597;0,7543;7,4837;-0,9043;-0,0687;0,0843;0,0000;-0,0150;1,1393;-0,0320;335,8518;314,8437;11,3578;-0,8432;0,3798;-0,4631;0,0000;
141075;0,04999999;14,6312;1,4177;0,1140;12,7619;251,5451;353,9424;True;True;0,1767;1,1530;0,0368;345,1565;357,4236;7,6183;-0,5153;-0,0197;0,0287;0,0000;-0,0253;1,1410;-0,0431;333,8568;310,9462;11,6426;-0,3259;-0,0688;-0,3583;0,0000;
141080;0,075;14,6333;1,4160;0,1070;13,0631;248,8952;353,9888;True;True;0,1663;1,1543;0,0351;344,3924;355,1108;8,2690;-0,2819;0,0103;0,0100;0,0000;-0,0340;1,1371;-0,0515;335,4405;308,0175;12,0607;-0,2374;-0,1979;-0,2415;0,0000;
141085;0,1;14,6320;1,4142;0,1060;13,8736;251,4397;354,8128;True;True;0,1612;1,1556;0,0363;343,2030;355,1894;10,8928;0,0998;0,1034;0,0505;0,0000;-0,0377;1,1314;-0,0546;335,4245;306,3307;11,7016;-0,0591;-0,2328;0,1161;0,0000;
141090;0,125;14,6278;1,4149;0,1114;13,6694;255,7081;355,0504;True;True;0,1730;1,1606;0,0519;338,9879;4,3075;16,2047;0,7175;0,4955;1,2489;0,0000;-0,0316;1,1281;-0,0325;328,9906;301,4073;359,8826;0,5165;0,3808;1,0681;0,0000;
141095;0,15;14,6251;1,4019;0,1085;11,3517;252,2087;355,3750;True;True;0,1644;1,1663;0,0720;330,4915;9,6171;10,5913;-0,9087;-0,3361;0,5435;0,0000;-0,0767;1,1456;-0,0187;316,9274;294,8176;354,0356;-2,9330;0,3947;-0,2353;0,0000;
141100;0,175;14,6225;1,3865;0,0906;14,2995;247,8073;354,0543;True;True;0,1333;1,1412;0,0957;334,4198;1,7223;15,2188;-1,0078;-0,7049;0,0902;0,0000;-0,1214;1,1326;-0,0333;309,5478;283,2767;356,9394;-1,5851;-0,9281;-0,6698;0,0000;
141105;0,1999999;14,6242;1,3789;0,0424;15,4507;241,3032;355,5132;True;True;0,0868;1,1328;0,0920;330,8478;9,6748;10,4278;-3,4227;-0,4198;0,3201;0,0000;-0,2016;1,1037;-0,0499;313,5366;270,0251;0,4878;-3,3202;-1,1368;-0,1060;0,0000;
141110;0,2249999;14,6314;1,3507;-0,0359;13,0269;225,5548;354,9887;True;True;-0,0363;1,1088;0,0953;324,4096;355,4998;22,3526;-5,4300;-1,6432;0,4047;0,0000;-0,3393;1,0556;-0,0946;323,0920;249,6355;7,2884;-5,8178;-2,5561;-2,4210;0,0000;
141115;0,2499999;14,6570;1,2977;-0,1452;14,2100;209,9427;354,1530;True;True;-0,2440;1,1009;0,0608;313,7398;326,7723;40,7209;-9,9690;2,6872;-2,5543;0,0000;-0,5061;1,0385;-0,2342;338,3694;218,1583;17,4209;-3,8213;1,7874;-7,4247;0,0000;
141120;0,2749999;14,6832;1,2921;-0,3177;16,3489;203,0019;356,7896;True;True;-0,5141;1,2138;-0,0497;290,2227;269,0817;82,5259;-10,5542;4,0158;-3,8200;0,0000;-0,6400;1,1416;-0,3291;311,1032;165,8797;51,5609;-6,4841;4,2931;-2,8039;0,0000;
141125;0,2999999;14,7137;1,3051;-0,5276;15,0611;196,6896;359,0075;True;True;-0,8481;1,2580;-0,2439;296,7213;211,3722;131,3123;-10,7035;-1,2850;-9,7458;0,0000;-0,8242;1,2149;-0,3938;334,9108;141,8557;64,5351;-9,5479;2,5920;-1,0756;0,0000;
141130;0,3249998;14,7401;1,2599;-0,7096;13,8733;184,5975;3,9621;True;True;-1,2591;1,2396;-0,3523;310,7205;213,8551;163,7620;-17,0705;-3,3638;3,0543;0,0000;-1,2307;1,2773;-0,4545;328,2512;178,9315;10,7087;-18,4048;-2,7715;-0,7625;0,0000;
141135;0,3499998;14,7824;1,2336;-0,8623;21,6277;173,0059;354,3868;True;True;-1,4093;1,0491;-0,2646;328,4842;280,5301;152,1544;-4,8977;-10,2830;-3,0853;0,0000;-1,4272;1,0538;-0,4318;5,5415;206,9284;316,5475;6,4580;5,1516;-5,6402;0,0000;
141140;0,3749998;14,7855;1,1863;-0,9569;11,8409;174,6752;353,4834;True;True;-1,4636;0,8249;-0,1144;354,4752;287,6124;155,5763;-0,4705;-16,0474;5,6462;0,0000;-1,5362;0,7742;-0,3307;22,3178;235,4164;323,2937;-3,3125;-17,2213;-1,8588;0,0000;
141145;0,3999998;14,8052;1,2296;-1,0531;15,9552;193,6031;8,4692;True;True;-1,3500;0,6489;-0,0404;18,4746;287,7554;131,4022;5,3299;-5,5929;3,7988;0,0000;-1,4395;0,6335;-0,2403;19,8661;230,3271;321,6473;4,8839;-4,9617;5,3208;0,0000;
141150;0,4249997;14,7984;1,3182;-1,1059;12,0217;206,9069;1,3424;True;True;-1,1274;0,6036;0,0326;31,2552;304,2957;111,0956;9,3074;2,2140;2,9320;0,0000;-1,2489;0,6034;-0,1871;50,6399;221,8827;326,4383;4,4141;2,0492;5,9287;0,0000;
141155;0,4499997;14,7714;1,3493;-1,1141;5,4668;225,2150;5,2613;True;True;-0,9306;0,6744;0,0961;25,6202;329,3976;108,6382;8,6685;2,6701;3,6483;0,0000;-1,1759;0,6604;-0,0615;35,5666;267,5104;323,4677;2,6935;2,5795;5,4551;0,0000;
141160;0,4749997;14,7600;1,3308;-1,0523;6,0546;248,1014;355,5983;True;True;-0,6340;0,8173;0,2172;0,4641;39,9909;85,3205;10,9844;8,0364;1,2738;0,0000;-1,0493;0,7766;0,0316;1,5088;320,5641;331,9496;5,1337;4,3022;-0,4527;0,0000;
141165;0,4999997;14,7742;1,3181;-0,9674;4,6250;262,8060;354,7627;True;True;-0,4337;0,9753;0,0941;335,2412;72,1631;54,4519;2,3703;1,4901;-3,9133;0,0000;-0,9476;0,8476;-0,0359;342,2548;340,1051;333,2216;2,2230;1,7442;-3,8966;0,0000;
141170;0,5249997;14,8009;1,3327;-0,8751;13,4602;272,3069;354,1682;True;True;-0,3996;1,0093;0,0448;336,7546;52,2881;59,4805;3,0591;2,8961;-1,9890;0,0000;-0,8940;0,8885;-0,1084;341,4102;335,2159;341,3191;3,9489;2,4598;-3,5516;0,0000;
141175;0,5499997;14,8170;1,3653;-0,7412;11,9606;275,5844;353,8630;True;True;-0,3796;1,0371;0,0440;334,9154;37,6739;57,8580;1,2701;1,4085;0,0772;0,0000;-0,8279;0,9179;-0,1390;343,4810;326,9352;342,9456;2,5535;0,3646;-0,7055;0,0000;
141180;0,5749996;14,8260;1,3561;-0,6354;7,6542;273,4298;356,2375;True;True;-0,3660;1,0510;0,0453;342,5105;22,5530;51,2158;0,1334;0,6287;-0,3545;0,0000;-0,7800;0,9433;-0,1618;339,8578;313,5194;339,0451;1,7524;1,5433;-1,4822;0,0000;
141185;0,5999996;14,8193;1,3892;-0,5553;13,2878;269,6661;356,5412;True;True;-0,3383;1,0701;0,0113;339,7614;21,7358;44,1411;0,2474;-0,2544;-1,5886;0,0000;-0,7278;0,9897;-0,1782;337,9342;306,9396;337,9631;2,7702;2,5437;-0,1345;0,0000;
141190;0,6249996;14,8271;1,4386;-0,5032;17,3189;262,6795;354,8305;True;True;-0,3124;1,0825;-0,0281;344,1193;18,4049;44,9125;1,1889;0,3380;-1,1045;0,0000;-0,6595;1,0672;-0,2032;331,3769;313,2995;340,8605;2,2839;1,7707;-0,7638;0,0000;
141195;0,6499996;14,8241;1,4543;-0,4593;11,0860;258,0856;354,7923;True;True;-0,2854;1,0757;-0,0519;350,1504;19,6982;38,8506;1,1663;-0,4281;-0,7405;0,0000;-0,6111;1,0715;-0,1963;336,3537;319,0962;336,3680;1,2313;-0,7512;0,3146;0,0000;
141200;0,6749995;14,8264;1,4279;-0,4041;16,4782;256,2003;352,4745;True;True;-0,2490;1,0445;-0,0689;349,8044;19,8891;31,2215;1,7059;-2,0653;0,0426;0,0000;-0,5588;1,0398;-0,1940;327,9734;319,7396;337,5016;1,9741;-1,7405;0,4718;0,0000;
141205;0,6999995;14,8188;1,4067;-0,3399;14,0852;256,1194;352,6703;True;True;-0,1992;1,0189;-0,0768;349,2491;17,2982;32,4069;2,1538;-0,4578;-0,1824;0,0000;-0,5018;1,0249;-0,1871;331,2451;312,2492;338,5259;1,8794;0,2612;-0,3226;0,0000;
141210;0,7249995;14,8153;1,3967;-0,2705;15,4900;255,9412;352,3679;True;True;-0,1168;1,0168;-0,0826;347,8992;17,4586;34,8219;4,7583;0,3620;-0,2959;0,0000;-0,4234;1,0254;-0,1832;336,9132;307,1759;342,8364;4,6634;0,2435;0,1391;0,0000;
141215;0,7499995;14,8155;1,3843;-0,2068;17,2079;258,3900;352,8985;True;True;-0,0457;1,0309;-0,0764;346,1645;19,8318;34,5491;3,7594;1,2104;0,0144;0,0000;-0,3573;1,0331;-0,1819;329,9671;310,2862;343,7486;3,7801;0,5270;0,3249;0,0000;
141220;0,7749994;14,8113;1,3915;-0,1558;19,4660;259,7742;355,7716;True;True;-0,0007;1,0508;-0,0702;350,8116;21,1416;29,0129;2,1875;1,4206;0,0415;0,0000;-0,3144;1,0421;-0,1735;326,5562;311,0141;336,3967;2,2596;0,9324;0,2675;0,0000;
141225;0,7999994;14,8070;1,4007;-0,1153;19,1484;262,5293;353,0522;True;True;0,0365;1,0745;-0,0681;342,3745;25,5133;28,0345;1,0803;0,3561;0,1628;0,0000;-0,2882;1,0456;-0,1742;326,7546;311,0439;345,1575;0,7139;-0,5460;0,6932;0,0000;
141230;0,8249994;14,8037;1,4029;-0,0920;18,1306;268,3692;353,8768;True;True;0,0693;1,0862;-0,0706;340,7494;29,3591;26,9274;1,1975;0,4790;-0,3509;0,0000;-0,2823;1,0367;-0,1608;333,0770;309,9557;341,9495;-0,0864;0,0172;0,1762;0,0000;
141235;0,8499994;14,7973;1,4058;-0,0707;17,4624;277,7248;353,9261;True;True;0,1001;1,0916;-0,0753;345,0603;35,3849;21,3590;0,8698;0,1772;-0,1908;0,0000;-0,2675;1,0335;-0,1453;330,7268;313,2257;338,9807;0,6244;-0,1038;0,8492;0,0000;
141240;0,8749993;14,7908;1,4041;-0,0510;18,0039;282,0189;354,1973;True;True;0,1178;1,0915;-0,0737;343,2076;36,3941;24,2395;0,6962;-0,0426;0,2980;0,0000;-0,2499;1,0373;-0,1273;330,8456;317,3087;339,1640;0,7695;0,1030;0,6824;0,0000;
141245;0,8999993;14,7815;1,4045;-0,0402;17,9943;281,9977;354,1375;True;True;0,1226;1,0909;-0,0638;337,9337;35,3220;28,8174;0,0415;-0,2334;0,6212;0,0000;-0,2420;1,0403;-0,1095;328,5386;316,0588;339,6673;-0,0871;-0,0906;0,8101;0,0000;
141250;0,9249993;14,7710;1,4020;-0,0428;17,4246;280,4386;354,4047;True;True;0,1199;1,0903;-0,0515;340,8238;35,3291;25,0299;-0,7377;-0,0785;0,3757;0,0000;-0,2477;1,0412;-0,0988;326,6059;315,2687;337,5133;-0,5388;-0,0737;0,0410;0,0000;
