Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
117280;0,02;13,7170;1,4404;-0,1252;9,2593;272,9274;355,7526;True;True;0,3511;1,6145;0,8276;313,9390;177,5269;288,9510;0,0947;0,0504;-0,0749;0,0000;-0,5922;1,6083;0,9510;289,7158;233,5250;27,0480;-0,2302;-0,1891;0,0026;0,0000;
117285;0,04499999;13,7159;1,4364;-0,1267;7,5041;271,3214;355,0026;True;True;0,3559;1,6158;0,8249;313,0098;174,6905;293,0249;0,0369;-0,0151;-0,1687;0,0000;-0,5994;1,6066;0,9558;289,6755;241,7382;19,0126;-0,1779;-0,0211;0,1395;0,0000;
117290;0,06999999;13,7171;1,4263;-0,1300;10,0028;271,3528;355,2469;True;True;0,3557;1,6099;0,8130;318,1633;172,8669;292,0886;0,1737;-0,2431;-0,3505;0,0000;-0,5979;1,5990;0,9502;289,7314;232,8904;27,9386;0,1689;-0,3606;-0,2724;0,0000;
117295;0,09500001;13,7141;1,4300;-0,1307;10,5626;271,8684;356,1385;True;True;0,3734;1,6032;0,8109;318,1656;162,8241;299,6280;0,6328;-0,0405;0,2304;0,0000;-0,6033;1,5902;0,9511;293,1104;235,1759;28,6515;-0,3256;-0,0658;0,4417;0,0000;
117300;0,12;13,7140;1,4269;-0,1326;10,8788;271,5386;355,4893;True;True;0,3798;1,6005;0,8038;315,2829;169,9279;300,1993;-0,0716;-0,2373;-0,5766;0,0000;-0,6076;1,5905;0,9599;288,5393;242,7610;15,9753;0,0078;0,0073;-0,0652;0,0000;
117305;0,145;13,7123;1,4257;-0,1326;11,7003;271,5470;355,4958;True;True;0,3786;1,5958;0,7973;317,7674;171,0969;299,4240;-0,3492;-0,2275;0,0464;0,0000;-0,6006;1,5911;0,9631;286,2161;226,5957;30,0533;0,4182;0,0062;0,4133;0,0000;
117310;0,17;13,7108;1,4210;-0,1355;11,4550;269,9267;355,8314;True;True;0,3573;1,5957;0,8108;309,2045;181,4324;290,8080;-1,2880;0,0718;0,7653;0,0000;-0,5898;1,5897;0,9690;286,3600;232,1591;26,2030;0,7648;-0,1852;0,3840;0,0000;
117315;0,1949999;13,7085;1,4150;-0,1416;12,0280;266,7894;356,6761;True;True;0,3353;1,5965;0,8226;309,9505;184,2492;283,6269;-0,4667;0,0750;0,6148;0,0000;-0,5673;1,5828;0,9735;283,8582;228,0252;33,2603;0,8991;-0,2831;0,1143;0,0000;
117320;0,2199999;13,7065;1,4121;-0,1538;11,5542;263,1091;357,2879;True;True;0,3238;1,5915;0,8425;308,7249;186,7673;282,9493;-0,3705;-0,3991;0,6918;0,0000;-0,5469;1,5743;0,9844;282,7766;223,2583;40,1491;0,7056;-0,3823;0,6744;0,0000;
117325;0,2449999;13,7053;1,4095;-0,1702;12,7452;260,6650;356,7293;True;True;0,3120;1,5852;0,8631;305,8088;180,4506;286,6400;-0,5598;-0,1214;0,7159;0,0000;-0,5244;1,5612;0,9960;278,0799;224,6427;40,8503;0,6865;-0,4901;0,1821;0,0000;
117330;0,2699999;13,7041;1,4011;-0,1955;12,0173;258,1473;358,6012;True;True;0,2824;1,5791;0,8810;304,2891;184,1484;284,0772;-2,0427;-0,4230;0,7819;0,0000;-0,5056;1,5510;0,9982;278,2610;213,6622;54,0471;0,8901;-0,4254;-0,1569;0,0000;
117335;0,2949999;13,7067;1,3828;-0,2474;11,5586;255,2212;358,7176;True;True;0,2341;1,5676;0,8850;307,5403;179,7005;284,8290;-1,9194;-0,3035;-0,0491;0,0000;-0,4991;1,5496;0,9945;281,4516;187,5253;78,5277;0,2950;0,1969;-0,1125;0,0000;
117340;0,3199998;13,7102;1,3623;-0,3177;9,7059;254,0209;358,9840;True;True;0,1549;1,5613;0,8644;314,4718;181,1522;282,2285;-3,1038;-0,3678;-1,1604;0,0000;-0,4869;1,5751;0,9711;297,0960;155,8723;109,7000;-0,1270;1,4282;-1,0083;0,0000;
117345;0,3449998;13,7150;1,3524;-0,4104;13,0191;254,1787;357,0271;True;True;0,0634;1,5494;0,8362;318,4297;172,5692;290,0232;-3,3557;-0,6681;-1,2102;0,0000;-0,4963;1,6288;0,9391;312,9190;154,2334;109,4740;-1,0917;2,4464;-1,6508;0,0000;
117350;0,3699998;13,7093;1,3683;-0,5209;3,3205;253,6399;355,3961;True;True;-0,0511;1,5209;0,7932;319,9451;165,7431;299,2779;-6,2286;-1,9960;-2,8512;0,0000;-0,5886;1,7211;0,9414;309,6646;179,5108;94,9019;-7,5871;4,9657;2,1733;0,0000;
117355;0,3949998;13,7277;1,3303;-0,6318;6,2011;255,7336;349,2588;True;True;-0,1517;1,4664;0,7432;327,2602;158,1037;303,7260;-3,5272;-1,7895;-1,3291;0,0000;-0,7712;1,6792;1,2762;326,8330;316,8646;256,6516;-11,4959;-12,0751;14,2652;0,0000;
117360;0,4199997;13,7417;1,3591;-0,6864;8,2155;255,9674;347,9185;True;True;-0,1898;1,4514;0,7131;323,8378;170,8981;297,3798;0,7013;0,9727;-1,2503;0,0000;-0,8406;1,5793;1,2174;327,2596;327,3099;283,3413;1,1721;1,6561;-2,0353;0,0000;
117365;0,4449997;13,7528;1,3722;-0,7200;8,3209;258,3159;348,2463;True;True;-0,2044;1,4931;0,6958;320,4656;164,4693;312,7279;-1,6792;1,3340;-0,7833;0,0000;-0,8878;1,5919;1,1753;325,3719;349,0500;252,6960;-0,9622;3,1098;-1,7798;0,0000;
117370;0,4699997;13,7583;1,3806;-0,7347;8,0933;262,0585;347,0830;True;True;-0,2405;1,5275;0,6673;325,6890;169,0334;304,4321;-1,6881;1,5509;-1,4273;0,0000;-0,8879;1,6793;1,1118;308,2429;334,3582;284,8325;0,7238;3,9841;-3,6224;0,0000;
117375;0,4949997;13,7681;1,3799;-0,7341;10,8494;267,8808;347,9662;True;True;-0,2610;1,5357;0,6635;325,1174;169,9466;297,8452;-0,2411;0,1935;0,0700;0,0000;-0,8755;1,7254;1,0521;297,2752;332,6367;297,5720;0,5593;1,0139;-2,0205;0,0000;
117380;0,5199997;13,7753;1,3712;-0,7126;12,0584;273,9601;349,1039;True;True;-0,2585;1,5396;0,6624;322,8979;171,9973;296,1560;0,4139;0,0254;-0,0526;0,0000;-0,8452;1,7481;0,9903;292,9028;319,8429;321,6111;1,1818;0,3494;-2,0511;0,0000;
117385;0,5449997;13,7824;1,3537;-0,6761;13,6064;277,9665;348,9988;True;True;-0,2315;1,5363;0,6639;319,7368;175,7182;294,7891;1,2928;-0,1137;-0,1306;0,0000;-0,8149;1,7457;0,9529;280,1757;293,5063;339,3740;0,9156;-0,3786;-0,6286;0,0000;
117390;0,5699996;13,7901;1,3473;-0,6248;14,5053;279,4529;351,6818;True;True;-0,1891;1,5431;0,6703;315,8590;184,4875;285,4410;2,4934;0,8845;0,6388;0,0000;-0,7821;1,7410;0,9291;277,5942;294,6249;331,6488;1,5255;-0,4595;-1,6286;0,0000;
117395;0,5949996;13,7982;1,3504;-0,5432;13,2378;281,2299;352,5396;True;True;-0,1448;1,5724;0,6835;310,3562;192,4099;271,8173;1,7345;1,2924;0,5424;0,0000;-0,7790;1,7330;0,9157;279,4402;276,0666;344,0688;-0,5060;-0,4667;0,0708;0,0000;
117400;0,6199996;13,8042;1,3562;-0,4584;13,9315;289,0342;353,6639;True;True;-0,0876;1,6111;0,6926;310,8568;203,1267;265,0580;2,0675;1,3836;0,1783;0,0000;-0,7899;1,7198;0,9075;292,1327;288,1842;328,6101;-0,3432;-0,3910;-0,3672;0,0000;
117405;0,6449996;13,8063;1,3826;-0,3825;14,7190;292,7566;357,1914;True;True;-0,0228;1,6460;0,6928;312,2607;206,8756;264,4275;2,2447;0,8434;-0,1061;0,0000;-0,7775;1,7137;0,9174;292,6107;282,8687;337,6259;0,5860;0,5760;0,8584;0,0000;
117410;0,6699995;13,8022;1,4100;-0,3234;14,2639;293,4730;357,1100;True;True;0,0378;1,6583;0,6854;313,9296;195,3736;270,6843;1,9726;0,1169;-0,1634;0,0000;-0,7511;1,7291;0,9300;299,1647;277,8204;348,3404;1,6782;0,5625;-0,0435;0,0000;
117415;0,6949995;13,7970;1,4033;-0,2746;10,4171;288,0150;359,6057;True;True;0,0970;1,6428;0,6861;311,6682;195,3501;272,7264;2,2074;-1,1527;0,2490;0,0000;-0,6847;1,7206;0,9287;287,2498;268,1307;358,1084;2,0895;-0,5355;-0,2684;0,0000;
117420;0,7199995;13,8001;1,3849;-0,2318;15,6119;278,6223;356,9354;True;True;0,1675;1,5966;0,6939;312,8950;195,4711;270,1104;2,6995;-1,6679;0,5221;0,0000;-0,6103;1,7021;0,8999;294,3858;256,3026;16,8777;2,5453;-0,9548;-1,3645;0,0000;
117425;0,7449995;13,8045;1,3660;-0,1901;12,7099;271,0562;359,8716;True;True;0,2604;1,5709;0,7322;307,1674;198,2793;273,6979;2,6023;-0,0092;1,6452;0,0000;-0,5577;1,6746;0,8838;292,0943;249,7450;19,5495;1,6663;-0,7874;-0,5511;0,0000;
117430;0,7699994;13,8152;1,3600;-0,1552;14,6900;265,4009;1,8756;True;True;0,2995;1,5627;0,7391;307,7134;203,6809;258,1517;2,1216;0,0721;-0,3579;0,0000;-0,5126;1,6617;0,8430;291,8471;219,4117;46,8943;2,0309;-0,0184;-1,6782;0,0000;
117435;0,7949994;13,8190;1,3880;-0,1324;12,0913;262,0398;0,6911;True;True;0,3392;1,5813;0,7414;305,8201;187,2593;270,9633;1,1664;0,7535;0,7997;0,0000;-0,5136;1,6826;0,8375;284,6849;199,4633;60,9291;-0,8631;0,9404;-0,0900;0,0000;
117440;0,8199994;13,8228;1,3934;-0,1283;12,8703;261,8713;358,9078;True;True;0,3618;1,5926;0,7390;301,8655;208,8891;264,7230;0,3860;0,1640;-0,6226;0,0000;-0,5437;1,7076;0,8212;288,5461;235,9539;16,9819;-0,8666;0,4970;-1,1704;0,0000;
117445;0,8449994;13,8232;1,3986;-0,1358;13,6085;258,3844;356,6774;True;True;0,3582;1,5879;0,7217;305,2271;203,7040;268,6309;-0,2263;-0,2714;-0,7246;0,0000;-0,5555;1,7136;0,7918;291,0982;214,4005;40,0054;-0,4928;-0,0343;-0,7528;0,0000;
117450;0,8699993;13,8209;1,4021;-0,1468;13,8137;257,0881;354,3867;True;True;0,3566;1,5818;0,7115;309,5911;186,6965;280,9773;-0,0818;-0,1842;-0,1697;0,0000;-0,5772;1,7169;0,7878;290,4607;219,7197;34,4864;-0,7033;0,2156;0,2566;0,0000;
117455;0,8949993;13,8182;1,4052;-0,1561;14,7071;255,8667;354,5003;True;True;0,3468;1,5791;0,7110;310,7967;183,0811;283,0383;-0,9030;-0,0352;0,0980;0,0000;-0,5857;1,7144;0,7913;279,7759;220,4139;34,7200;-0,0812;-0,3856;0,0045;0,0000;
117460;0,9199993;13,8163;1,4028;-0,1586;13,8184;252,3202;354,2194;True;True;0,3236;1,5822;0,7157;310,4671;187,7252;270,7312;-1,0214;0,2372;0,4353;0,0000;-0,5746;1,7003;0,7908;273,8226;202,0121;59,8724;0,7422;-1,0126;-0,0660;0,0000;
117465;0,9449993;13,8165;1,3907;-0,1511;15,1640;251,3450;354,2468;True;True;0,3343;1,5923;0,7348;304,5230;196,1149;265,5270;0,9595;0,3797;0,8428;0,0000;-0,5654;1,6803;0,7930;275,8745;219,5157;43,8025;0,1199;-0,7042;0,3489;0,0000;
117470;0,9699993;13,8083;1,3937;-0,1500;15,4652;251,9634;354,5357;True;True;0,3509;1,5907;0,7379;304,8003;190,9982;273,0340;0,2422;-0,3619;-0,1665;0,0000;-0,5748;1,6641;0,8068;274,3599;151,3547;108,8456;-1,0346;-0,4626;0,6591;0,0000;
117475;0,9949992;13,7966;1,3956;-0,1578;13,4917;254,5531;356,2240;True;True;0,3588;1,5898;0,7437;302,5173;194,4200;275,8336;-0,0853;0,1283;0,0964;0,0000;-0,6129;1,6608;0,8177;279,1772;243,0977;10,0077;-1,0448;-0,1440;0,1405;0,0000;
117480;1,019999;13,7820;1,3948;-0,1717;14,1308;255,1103;354,9054;True;True;0,3375;1,5808;0,7349;305,7318;193,2348;274,5325;-0,9434;-0,4371;-0,1771;0,0000;-0,6327;1,6578;0,8331;276,8909;251,5666;8,3595;-0,5248;0,2486;0,9048;0,0000;
117485;1,044999;13,7630;1,4024;-0,1876;12,7684;256,6996;353,9713;True;True;0,3261;1,5687;0,7400;302,7503;198,5068;271,7316;0,0663;-0,2495;0,7283;0,0000;-0,6496;1,6661;0,8550;271,3247;5,8197;251,7210;-1,1279;0,4947;1,0962;0,0000;
