Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
20645;0,01;14,8440;1,6723;-0,1279;358,5995;259,7596;3,7201;True;True;0,0755;1,7971;-0,2038;299,5304;233,9887;200,2921;-0,2045;0,0316;-0,0214;0,0000;-0,4614;1,8011;-0,3188;292,6801;124,9608;154,2453;0,0312;0,0566;-0,1082;0,0000;
20650;0,035;14,8444;1,6705;-0,1316;0,2460;258,2425;3,4341;True;True;0,0705;1,7977;-0,2051;299,9018;234,3392;199,2774;-0,1413;0,0887;-0,0284;0,0000;-0,4617;1,8022;-0,3217;293,5084;122,4788;155,2381;-0,0398;0,0382;-0,1135;0,0000;
20655;0,05999999;14,8445;1,6682;-0,1367;2,0469;257,1797;3,2441;True;True;0,0666;1,8000;-0,2084;299,2979;234,3651;198,5624;-0,1038;0,1013;-0,1455;0,0000;-0,4646;1,8022;-0,3249;295,5904;119,2282;154,1086;-0,1262;-0,0224;-0,0713;0,0000;
20660;0,085;14,8437;1,6661;-0,1390;3,0571;258,1435;3,4138;True;True;0,0664;1,8029;-0,2108;297,0284;235,6461;197,1523;0,0644;0,0764;-0,0927;0,0000;-0,4687;1,8013;-0,3269;296,5965;117,2460;153,9742;-0,1486;-0,0371;-0,0769;0,0000;
20665;0,11;14,8414;1,6636;-0,1382;3,5098;261,4997;3,2535;True;True;0,0724;1,8031;-0,2123;295,9143;235,6065;199,1546;0,3446;-0,0157;0,0776;0,0000;-0,4714;1,7996;-0,3273;296,0531;121,5817;152,4505;-0,0150;-0,0926;0,1132;0,0000;
20670;0,135;14,8389;1,6625;-0,1353;3,6904;265,8373;2,6320;True;True;0,0836;1,8000;-0,2103;293,5841;238,2954;199,7228;0,4615;-0,2085;0,0207;0,0000;-0,4686;1,7941;-0,3140;295,6787;125,5101;151,2263;0,1273;-0,3087;0,7452;0,0000;
20675;0,16;14,8365;1,6627;-0,1360;3,7501;267,2536;2,4183;True;True;0,0938;1,7882;-0,2056;290,8708;239,5948;200,9290;0,4974;-0,9497;0,4726;0,0000;-0,4659;1,7835;-0,2817;293,5944;124,4892;152,7160;0,0940;-0,8267;2,3610;0,0000;
20680;0,185;14,8342;1,6604;-0,1402;3,7816;265,3325;2,5943;True;True;0,0931;1,7737;-0,1952;286,9099;231,6045;210,5798;-0,2964;-0,7800;0,6088;0,0000;-0,4688;1,7682;-0,2445;289,3138;126,3110;151,8421;-0,2537;-0,6872;1,6521;0,0000;
20685;0,2099999;14,8318;1,6574;-0,1426;3,8650;264,2508;3,2741;True;True;0,0854;1,7496;-0,1723;284,5153;229,4047;209,3041;-0,4774;-1,6738;1,7530;0,0000;-0,4690;1,7444;-0,1958;283,8410;136,6077;140,8771;0,2916;-1,7282;3,2276;0,0000;
20690;0,2349999;14,8270;1,6562;-0,1415;3,9670;264,5703;3,4440;True;True;0,0817;1,7247;-0,1328;280,4554;229,4934;209,4977;0,0410;-0,8141;1,6398;0,0000;-0,4550;1,7228;-0,1531;280,3978;146,6136;134,2989;0,7637;-0,8346;1,8134;0,0000;
