Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
85830;0,005;14,9147;1,5874;-0,0623;356,3804;268,8722;4,7901;True;True;0,1659;1,7504;-0,3483;284,0646;231,6165;206,2368;33,1707;350,0794;-69,6540;0,0000;-0,4080;1,7435;-0,4100;289,8958;137,3974;160,3891;-81,6098;348,7078;-82,0030;0,0000;
85835;0,03;14,9077;1,5870;-0,0638;356,1755;268,5413;4,3847;True;True;0,1628;1,7492;-0,3395;282,9312;236,1316;202,6092;-0,1700;-0,1463;0,1274;0,0000;-0,4073;1,7528;-0,3953;289,8943;138,7625;160,3588;0,0170;0,2200;0,3567;0,0000;
85840;0,05499999;14,9031;1,5866;-0,0686;355,8576;268,2411;4,0409;True;True;0,1597;1,7436;-0,3352;283,1601;232,8158;206,1702;-0,0828;-0,2217;0,1988;0,0000;-0,4075;1,7557;-0,3884;291,6225;140,9851;159,5870;-0,0610;-0,0012;0,1788;0,0000;
85845;0,08;14,8996;1,5873;-0,0778;356,2144;267,1943;3,0404;True;True;0,1572;1,7395;-0,3297;281,8668;230,6262;207,3125;-0,0493;0,0357;0,1926;0,0000;-0,4113;1,7551;-0,3826;292,7368;141,7608;159,8786;-0,1942;-0,0042;0,1819;0,0000;
85850;0,105;14,8968;1,5861;-0,0843;357,2202;265,4707;2,9885;True;True;0,1515;1,7408;-0,3230;281,6440;229,0674;208,3826;-0,4406;-0,0020;0,4615;0,0000;-0,4176;1,7555;-0,3736;291,6523;141,0678;161,1554;-0,3367;0,0248;0,6456;0,0000;
85855;0,13;14,8927;1,5819;-0,0886;359,0980;263,3592;3,2523;True;True;0,1434;1,7340;-0,3120;282,0309;231,3225;205,8945;-0,4242;-0,5119;0,7116;0,0000;-0,4214;1,7528;-0,3638;290,3000;141,5635;161,5694;-0,2244;-0,1877;0,5803;0,0000;
85860;0,155;14,8894;1,5775;-0,0899;0,6985;262,2893;3,4367;True;True;0,1416;1,7218;-0,2987;281,7706;237,7957;198,7087;-0,0214;-0,4029;0,4758;0,0000;-0,4220;1,7479;-0,3559;289,0797;138,0233;163,7436;-0,0950;-0,1939;0,2132;0,0000;
85865;0,18;14,8874;1,5779;-0,0924;0,9370;260,5245;3,6420;True;True;0,1429;1,7149;-0,2870;282,4598;241,4367;194,8901;0,1026;0,0105;0,3288;0,0000;-0,4288;1,7431;-0,3565;287,6741;133,2262;165,7614;-0,3232;-0,1466;-0,2188;0,0000;
85870;0,2049999;14,8854;1,5776;-0,0939;1,2545;256,0593;3,9332;True;True;0,1467;1,7198;-0,2775;281,9378;239,3700;194,5218;0,2140;0,2743;0,4971;0,0000;-0,4412;1,7392;-0,3692;286,2060;133,0802;160,7491;-0,6876;-0,2265;-0,8011;0,0000;
85875;0,2299999;14,8844;1,5749;-0,0944;1,4908;251,6110;4,5538;True;True;0,1486;1,7213;-0,2673;280,8128;236,6480;193,5787;-0,0686;-0,1420;0,4413;0,0000;-0,4539;1,7311;-0,3832;284,4851;141,0470;151,1252;-0,4712;-0,4175;-0,3751;0,0000;
85880;0,2549999;14,8870;1,5711;-0,0981;0,5696;247,3055;5,0803;True;True;0,1421;1,7101;-0,2487;279,5117;244,2259;182,1758;-0,4741;-0,7363;0,8099;0,0000;-0,4680;1,7162;-0,3864;281,1259;148,8058;140,0823;-0,4179;-0,6410;0,1563;0,0000;
85885;0,2799999;14,8931;1,5674;-0,1055;359,6961;244,7455;5,0650;True;True;0,1173;1,6722;-0,2208;280,6181;238,1628;188,9310;-1,0845;-1,6709;1,4919;0,0000;-0,4659;1,6874;-0,3576;280,9234;163,5914;112,2821;0,2043;-1,1575;1,6055;0,0000;
85890;0,3049999;14,8968;1,5463;-0,1044;356,6871;246,3127;4,1086;True;True;0,1085;1,6238;-0,1723;290,3359;170,7028;266,3937;-0,9045;-3,5759;3,3131;0,0000;-0,4495;1,6297;-0,2972;274,4349;269,9998;20,8110;1,5754;-4,0865;3,4350;0,0000;
85895;0,3299998;14,9028;1,5353;-0,0710;354,7303;250,2861;6,0009;True;True;0,0384;1,6269;-0,0656;280,0895;171,3077;254,3199;-4,3383;1,7000;5,6499;0,0000;-0,3942;1,5956;-0,2585;277,8300;324,2799;341,4479;2,7518;-0,1623;1,1444;0,0000;
85900;0,3549998;14,9800;1,5242;-0,0730;351,4854;255,6832;5,2540;True;True;0,0252;1,7015;0,1391;279,7521;2,6522;79,9211;2,7128;3,3424;8,7742;0,0000;-0,3134;1,6108;-0,2659;274,8421;351,9075;317,0907;2,1919;1,1324;-1,3263;0,0000;
85905;0,3799998;14,9725;1,5299;-0,0057;349,3966;259,7491;5,7950;True;True;0,1215;1,7189;0,2031;324,4064;46,7683;39,9421;5,3493;-1,6660;2,2206;0,0000;-0,2502;1,6372;-0,3069;275,8547;325,2295;344,1418;2,1830;0,5034;-1,6187;0,0000;
85910;0,4049998;14,9547;1,5205;0,0613;349,9425;262,9746;4,5139;True;True;0,2341;1,7068;0,1901;323,5003;49,7507;22,1509;4,3805;0,2266;-2,2336;0,0000;-0,2536;1,6235;-0,4274;274,0311;352,4646;310,0207;2,4583;-1,3694;-1,6215;0,0000;
85915;0,4299997;14,9346;1,5233;0,1221;352,4158;267,1945;2,8298;True;True;0,3741;1,6865;0,1581;309,6024;58,0530;24,8676;4,9090;-0,1805;-2,9991;0,0000;-0,2072;1,5913;-0,4644;274,0020;25,1655;273,5332;0,9585;-0,9651;-0,7344;0,0000;
