Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
91980;0,025;14,8332;1,5538;-0,0008;353,9133;264,4446;4,8478;True;True;0,2437;1,7081;-0,2281;285,7403;280,9763;154,4364;-0,1328;-0,1046;0,8451;0,0000;-0,3227;1,7014;-0,3024;287,4114;110,7751;186,0720;0,1527;-0,0038;0,5903;0,0000;
91985;0,04999999;14,8355;1,5532;0,0020;354,0073;265,3840;4,8151;True;True;0,2431;1,6989;-0,2032;305,6751;336,0273;86,6894;-0,0952;-0,6757;0,8070;0,0000;-0,3118;1,6956;-0,2663;294,3841;50,7327;251,9016;0,4638;-0,5523;1,7159;0,0000;
91990;0,075;14,8382;1,5524;0,0058;354,4462;266,2363;4,4447;True;True;0,2372;1,6712;-0,1848;335,4557;338,4348;67,9555;-0,4766;-1,0080;0,0597;0,0000;-0,2932;1,6671;-0,2292;320,4731;33,2110;278,2867;0,8959;-1,2070;0,7465;0,0000;
91995;0,1;14,8397;1,5507;0,0101;355,1518;267,1057;4,2097;True;True;0,2372;1,6522;-0,1775;340,4875;338,9953;69,9128;0,1240;-0,8473;0,1893;0,0000;-0,2755;1,6398;-0,2079;329,1937;35,1756;277,8503;0,7321;-1,1300;0,8163;0,0000;
92000;0,125;14,8389;1,5461;0,0111;357,2602;265,8875;4,0875;True;True;0,2431;1,6579;-0,1751;333,9563;336,7560;74,4512;0,6147;1,2565;0,3397;0,0000;-0,2809;1,6451;-0,1998;320,3677;31,5491;274,4868;-0,6781;0,6456;0,3396;0,0000;
92005;0,15;14,8335;1,5418;0,0106;358,7207;263,1467;4,2192;True;True;0,2641;1,6925;-0,1799;297,8175;341,5040;91,2633;0,8404;0,9776;-0,5704;0,0000;-0,3138;1,6718;-0,2166;303,6652;27,0131;268,3499;-1,4324;1,0480;-0,9292;0,0000;
92010;0,175;14,8270;1,5389;0,0036;0,3922;261,0656;4,5913;True;True;0,2840;1,7054;-0,1966;282,0618;314,9622;128,2219;0,5819;0,0704;-0,4534;0,0000;-0,3566;1,6882;-0,2426;285,9647;22,4605;269,9162;-1,4365;0,0868;-0,7111;0,0000;
92015;0,1999999;14,8213;1,5363;-0,0150;1,0058;255,1668;4,0008;True;True;0,2922;1,6969;-0,1972;278,9856;341,5857;98,6145;-0,2923;-0,7509;0,3987;0,0000;-0,3917;1,6783;-0,2454;283,6102;16,6957;272,5255;-1,0981;-0,5775;0,1616;0,0000;
92020;0,2249999;14,8177;1,5352;-0,0485;359,1436;244,4406;5,6821;True;True;0,2623;1,6679;-0,1840;282,1426;321,4359;121,0689;-1,5374;-1,1928;0,4072;0,0000;-0,4293;1,6598;-0,2453;282,1173;13,8067;267,0354;-1,5666;-0,8110;-0,3169;0,0000;
92025;0,2499999;14,8181;1,5284;-0,0842;0,0563;231,0104;6,6146;True;True;0,2211;1,6319;-0,1697;284,1707;297,4161;137,1781;-1,2366;-1,4758;0,7516;0,0000;-0,5034;1,6347;-0,2530;279,8594;321,7158;312,7059;-3,3468;-1,0281;-0,0200;0,0000;
92030;0,2749999;14,8224;1,5163;-0,1182;359,4052;224,5013;7,1660;True;True;0,1930;1,5921;-0,1329;286,5115;318,6071;113,6906;-1,9948;-2,2008;2,1890;0,0000;-0,6073;1,6169;-0,2599;295,5414;272,0063;353,7688;-6,0328;-0,2624;-0,7400;0,0000;
92035;0,2999999;14,8418;1,5042;-0,1731;356,1733;218,8080;7,0699;True;True;0,1437;1,5890;-0,1189;288,7625;327,1914;100,9954;-2,2201;0,4711;-0,1239;0,0000;-0,6799;1,6592;-0,2447;294,4949;261,4555;354,9442;-3,4518;2,6366;0,7396;0,0000;
92040;0,3249998;14,8751;1,5275;-0,2509;352,7824;216,6898;7,4776;True;True;0,0600;1,6146;-0,1291;283,2735;322,4537;105,9508;-3,5638;0,9756;-0,0423;0,0000;-0,7602;1,7315;-0,1919;291,8246;243,5153;8,0471;-3,6087;2,6947;4,1741;0,0000;
92045;0,3499998;14,8959;1,5303;-0,3126;345,8700;219,4784;5,2254;True;True;-0,0363;1,6196;-0,1405;282,0125;319,3345;103,5004;-3,7680;-0,2615;-0,4111;0,0000;-0,8170;1,7594;-0,1119;295,2571;277,6227;318,7495;-0,4092;0,3866;1,5141;0,0000;
92050;0,3749998;14,9051;1,5110;-0,3604;349,2897;228,7279;2,9281;True;True;-0,1286;1,5999;-0,1612;285,5810;320,9862;98,6191;-2,3815;-1,1146;-1,5029;0,0000;-0,7996;1,7670;-0,0896;292,0525;271,1326;330,4504;2,5947;-0,0638;2,1032;0,0000;
92055;0,3999998;14,8957;1,4925;-0,3718;350,4711;240,3862;1,0057;True;True;-0,1404;1,5753;-0,1984;280,0553;303,0300;114,6065;0,0443;-1,5239;-1,3511;0,0000;-0,7086;1,7872;-0,1018;277,1646;357,2916;249,8022;5,7854;1,6771;-2,5050;0,0000;
92060;0,4249997;14,8798;1,5015;-0,3571;354,0508;261,0515;1,5902;True;True;-0,0960;1,5783;-0,2213;277,8130;336,3263;86,9641;2,0479;0,7063;-1,2781;0,0000;-0,6167;1,7770;-0,1740;284,3846;113,5225;155,0547;2,5650;-0,5754;-2,2234;0,0000;
92065;0,4499997;14,8644;1,5043;-0,3230;356,5881;270,2930;1,0491;True;True;-0,0379;1,6119;-0,2474;271,3961;238,2400;198,8931;2,0836;1,4633;-0,7857;0,0000;-0,5543;1,7632;-0,2366;283,6116;113,8520;170,1184;1,5846;-0,5129;-1,7698;0,0000;
92070;0,4749997;14,8537;1,5058;-0,2856;0,4470;274,2383;1,0623;True;True;0,0117;1,6431;-0,2627;276,7182;14,0684;60,1799;2,7872;1,6828;-0,7009;0,0000;-0,5110;1,7424;-0,2716;285,5470;111,7408;174,7404;2,5274;-1,3597;-2,1651;0,0000;
92075;0,4999997;14,8429;1,5076;-0,2380;2,8503;278,2244;1,5374;True;True;0,0382;1,6652;-0,2574;278,7768;331,8755;111,9346;0,9535;0,9876;0,1247;0,0000;-0,4975;1,7276;-0,2772;285,7797;120,0939;166,7821;-0,0124;-0,4074;0,2992;0,0000;
92080;0,5249997;14,8347;1,5197;-0,1952;2,5390;284,9932;2,6546;True;True;0,0621;1,6962;-0,2564;278,3614;278,9894;165,0603;0,6562;1,0207;0,3337;0,0000;-0,4951;1,7191;-0,2704;279,2906;120,0081;172,2017;-0,0205;-0,2604;0,3405;0,0000;
92085;0,5499997;14,8272;1,5299;-0,1681;2,3027;287,5768;3,0027;True;True;0,0799;1,7165;-0,2429;282,7348;263,5857;187,6496;0,6793;0,3733;0,4118;0,0000;-0,4892;1,7081;-0,2539;278,5563;135,4455;155,8113;0,2204;-0,3054;0,8681;0,0000;
92090;0,5749996;14,8207;1,5348;-0,1598;2,3751;285,4756;3,7312;True;True;0,0920;1,7189;-0,2267;280,3498;265,7271;182,8708;0,1816;-0,2662;0,7535;0,0000;-0,4863;1,7013;-0,2313;275,0537;125,2778;169,9532;-0,0414;-0,1518;0,4851;0,0000;
92095;0,5999996;14,8143;1,5353;-0,1693;2,1941;273,0159;4,0175;True;True;0,0878;1,7086;-0,2126;282,0251;262,6480;185,7433;-0,2582;-0,3055;0,3540;0,0000;-0,4922;1,6987;-0,2155;274,8302;80,8527;210,2868;-0,2753;-0,1457;0,2380;0,0000;
92100;0,6249996;14,8104;1,5369;-0,1795;1,5027;262,5931;4,1318;True;True;0,0811;1,6999;-0,2037;283,9712;251,1384;194,7820;-0,2743;-0,4915;0,7048;0,0000;-0,5088;1,7001;-0,2123;274,7410;81,5612;201,1921;-1,0408;0,1221;0,2788;0,0000;
92105;0,6499996;14,8069;1,5376;-0,1858;1,9804;257,6188;4,8031;True;True;0,0791;1,6974;-0,1904;283,6457;255,7193;190,7445;-0,1172;-0,0179;0,3418;0,0000;-0,5201;1,7016;-0,2136;274,8609;85,7657;193,8325;-0,2543;0,0308;-0,1017;0,0000;
92110;0,6749995;14,8030;1,5370;-0,1852;2,1935;259,6716;4,4591;True;True;0,0744;1,6975;-0,1816;284,4699;253,1585;192,7176;-0,1809;0,0590;0,2296;0,0000;-0,5214;1,7015;-0,2105;277,2189;92,1863;180,9151;0,1294;-0,0466;0,1989;0,0000;
