Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
54035;0,025;14,2448;1,4599;0,0899;11,8656;273,2693;1,1524;True;True;0,3287;1,2007;0,4091;317,6657;49,7490;19,5463;0,0046;0,0019;0,0395;0,0000;-0,1306;1,1530;0,4083;329,0772;328,6467;328,6504;-0,0706;0,0142;-0,0705;0,0000;
54040;0,04999999;14,2451;1,4594;0,0885;11,6457;273,1842;1,3750;True;True;0,3284;1,1998;0,4096;317,8114;49,6566;19,4874;-0,0412;-0,0806;0,0516;0,0000;-0,1320;1,1518;0,4079;328,9027;328,6814;328,5349;-0,0719;-0,0772;-0,0138;0,0000;
54045;0,075;14,2452;1,4589;0,0869;11,6596;272,6187;1,3536;True;True;0,3252;1,1987;0,4126;318,0397;49,3026;19,5385;-0,2430;-0,0212;0,2228;0,0000;-0,1354;1,1502;0,4094;329,5220;327,8958;328,6758;-0,1612;-0,0191;0,0938;0,0000;
54050;0,1;14,2430;1,4602;0,0871;11,4836;272,6306;1,1014;True;True;0,3235;1,2015;0,4166;317,8470;50,0654;19,2133;-0,0646;0,1412;0,1346;0,0000;-0,1375;1,1533;0,4114;328,9457;327,8505;328,3478;-0,2433;0,2628;0,1203;0,0000;
54055;0,125;14,2414;1,4610;0,0984;12,1523;279,6788;0,4172;True;True;0,3261;1,2087;0,4139;315,9813;50,0399;19,9500;0,2562;0,2093;-0,1982;0,0000;-0,1438;1,1635;0,4140;327,4521;326,8703;328,1704;-0,1681;0,4827;0,1332;0,0000;
54060;0,15;14,2411;1,4641;0,1187;12,3021;295,8235;1,0010;True;True;0,3355;1,2125;0,4059;314,9977;50,0888;23,4555;0,4218;0,1221;-0,4512;0,0000;-0,1415;1,1770;0,4235;324,7178;328,3940;327,0879;0,2571;0,4305;0,5088;0,0000;
54065;0,175;14,2419;1,4637;0,1370;12,8670;301,7424;1,4105;True;True;0,3527;1,2114;0,3927;315,6360;50,5417;25,8472;0,7583;-0,1724;-0,4964;0,0000;-0,1283;1,1877;0,4364;321,8985;331,4014;325,2419;0,5833;0,2632;0,5418;0,0000;
54070;0,1999999;14,2442;1,4633;0,1579;13,3302;304,1448;1,5784;True;True;0,3811;1,2042;0,3796;316,2027;51,1311;28,5103;1,2891;-0,3221;-0,7237;0,0000;-0,1083;1,1945;0,4450;320,1491;333,4645;323,6358;0,7667;0,2066;0,1641;0,0000;
54075;0,2249999;14,2469;1,4538;0,1924;9,5541;311,9904;358,7149;True;True;0,4901;1,1897;0,3184;315,3233;61,9636;31,5022;8,8464;-0,4901;-5,5586;0,0000;-0,0789;1,1645;0,4788;320,3447;333,3008;326,7967;2,3801;-3,2346;2,6290;0,0000;
54080;0,2499999;14,2689;1,4185;0,2667;11,0696;321,9590;357,9820;True;True;0,7474;1,1881;0,1799;325,8954;108,2208;5,7481;16,0218;-0,4213;-7,4279;0,0000;-0,0512;1,0432;0,5506;341,3820;350,6100;322,6008;0,3978;-5,8813;3,2959;0,0000;
