Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
155560;0,025;15,0980;1,4491;0,1495;14,3627;273,3906;359,9148;True;True;0,5938;1,3386;-0,4882;321,0349;91,7460;2,5247;-0,4748;-0,9194;0,1285;0,0000;-0,2912;1,3772;-0,4601;327,8542;279,3370;359,6572;-0,1106;-0,5568;-0,1372;0,0000;
155565;0,04999999;15,1027;1,4129;0,1447;13,6097;272,6199;359,3875;True;True;0,5828;1,3271;-0,4819;316,8185;86,1853;5,7494;-0,1567;0,2447;0,3597;0,0000;-0,2852;1,3674;-0,4512;323,4009;280,8968;359,7140;0,3520;0,0523;0,6325;0,0000;
155570;0,075;15,0937;1,4332;0,1418;16,0445;271,6572;359,0944;True;True;0,5897;1,3374;-0,4636;317,0366;84,9870;8,8734;0,4526;0,4507;1,0762;0,0000;-0,2861;1,3669;-0,4337;323,7129;279,8079;356,5074;-0,1541;-0,0412;0,8663;0,0000;
155575;0,1;15,0849;1,4690;0,1471;15,3641;270,6925;0,9089;True;True;0,5975;1,3388;-0,4522;322,0622;81,5195;13,7787;0,1272;-0,3817;-0,2312;0,0000;-0,2888;1,3572;-0,4322;330,2826;284,1388;348,8629;-0,1229;-0,2983;-1,0158;0,0000;
155580;0,125;15,0962;1,4226;0,1570;11,6431;270,5992;0,3329;True;True;0,6003;1,3117;-0,4672;319,9172;85,0366;6,9090;-0,3891;-1,3794;-0,2860;0,0000;-0,2848;1,3369;-0,4582;326,5885;280,2530;351,8987;0,0841;-0,8831;-0,8351;0,0000;
155585;0,15;15,1040;1,3900;0,1683;13,8328;275,1086;0,3782;True;True;0,6027;1,2894;-0,4666;314,8707;84,9120;10,8753;0,3290;-0,2352;0,4666;0,0000;-0,2840;1,3222;-0,4761;324,3178;277,3084;352,3359;0,2078;-0,0066;-0,5559;0,0000;
155590;0,175;15,1031;1,4041;0,1737;15,6044;276,5923;1,3899;True;True;0,6063;1,2898;-0,4572;316,2563;86,1910;12,6309;-0,1777;0,3163;0,3747;0,0000;-0,2869;1,3164;-0,4788;324,1913;273,8139;350,5279;-0,1688;0,0816;0,5117;0,0000;
155595;0,1999999;15,1063;1,4045;0,1756;14,0483;277,0597;359,9424;True;True;0,5836;1,2910;-0,4703;310,2433;84,4052;14,1180;-1,0934;-0,1329;-0,7906;0,0000;-0,2851;1,3186;-0,4742;320,4018;273,7994;350,2910;0,1112;-0,1311;0,7746;0,0000;
155600;0,2249999;15,1091;1,3988;0,1697;15,0867;277,2478;359,7215;True;True;0,5641;1,2830;-0,4715;308,3034;86,8562;11,1601;-1,7678;-0,6545;0,3101;0,0000;-0,2882;1,3071;-0,4687;321,9356;275,9166;352,8816;-0,1437;-1,0168;0,2320;0,0000;
155605;0,2499999;15,1091;1,3813;0,1658;13,6248;278,9010;1,6204;True;True;0,5463;1,2626;-0,4690;307,7127;80,5524;13,4699;-0,1450;-0,5488;-0,5072;0,0000;-0,2873;1,2836;-0,4585;320,1918;277,0111;347,5296;0,2727;-0,3096;0,1839;0,0000;
