Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
48805;0,025;14,4210;1,6211;0,1133;9,5181;274,8916;1,3408;True;True;0,5718;1,6372;0,2097;303,4505;94,5330;349,0230;-0,1170;-0,0447;-0,0500;0,0000;-0,3979;1,6836;0,1953;309,8472;246,0624;5,4625;0,0596;0,0039;-0,1327;0,0000;
48810;0,04999999;14,4206;1,6201;0,1124;10,3112;274,7475;1,4933;True;True;0,5708;1,6362;0,2099;303,5674;94,6999;348,9028;-0,0068;-0,0339;0,0129;0,0000;-0,3982;1,6827;0,1939;310,1374;245,5339;6,1827;-0,0661;-0,0483;-0,0505;0,0000;
48815;0,075;14,4195;1,6240;0,1108;10,4800;273,7255;1,4344;True;True;0,5705;1,6348;0,2143;304,1707;93,1360;350,4265;-0,0056;0,0039;0,3066;0,0000;-0,4035;1,6804;0,1963;310,4366;246,6890;4,2285;-0,3595;-0,0749;0,1418;0,0000;
48820;0,1;14,4184;1,6240;0,1097;10,3173;273,2673;1,5999;True;True;0,5695;1,6336;0,2183;303,8044;92,4480;351,6427;-0,0602;-0,0482;0,0671;0,0000;-0,4058;1,6797;0,1981;310,3000;247,0450;3,3820;0,0452;-0,0253;-0,0113;0,0000;
48825;0,125;14,4185;1,6201;0,1094;11,1933;273,2787;2,0205;True;True;0,5684;1,6327;0,2184;303,7083;92,2077;351,1070;-0,0398;-0,0343;0,0141;0,0000;-0,4027;1,6779;0,1977;310,0796;246,9322;4,0752;0,1464;-0,1010;-0,0320;0,0000;
48830;0,15;14,4193;1,6196;0,1098;11,5996;273,2551;1,6815;True;True;0,5683;1,6313;0,2184;303,8360;92,0921;351,0859;0,0187;-0,0692;-0,0128;0,0000;-0,4000;1,6756;0,1979;309,8210;247,6551;3,6785;0,0434;-0,0526;0,0139;0,0000;
48835;0,175;14,4224;1,6184;0,1143;11,5244;277,0721;1,8206;True;True;0,5697;1,6296;0,2175;303,8236;92,2478;351,7180;0,0803;-0,0689;-0,1426;0,0000;-0,4002;1,6750;0,1968;309,5982;247,6043;3,4530;-0,0492;-0,0365;-0,0993;0,0000;
48840;0,1999999;14,4259;1,6156;0,1194;12,2554;281,0515;2,0091;True;True;0,5698;1,6269;0,2127;303,7684;91,8955;351,7110;0,0025;-0,1973;-0,3187;0,0000;-0,4000;1,6727;0,1905;309,7425;247,0659;4,0949;0,0342;-0,1610;-0,4517;0,0000;
48845;0,2249999;14,4280;1,6153;0,1240;12,3905;282,5759;1,8662;True;True;0,5704;1,6237;0,2087;303,6253;91,7241;351,9919;0,0675;-0,1231;-0,1251;0,0000;-0,4015;1,6688;0,1885;310,1830;246,8820;4,0174;-0,1016;-0,1671;0,0173;0,0000;
48850;0,2499999;14,4300;1,6157;0,1255;12,3448;282,6548;1,7363;True;True;0,5742;1,6201;0,2057;304,1479;90,5457;353,8388;0,1410;-0,1176;-0,1329;0,0000;-0,4057;1,6641;0,1904;310,7856;248,3029;2,3062;-0,1803;-0,1410;0,0475;0,0000;
48855;0,2749999;14,4318;1,6157;0,1312;13,0906;284,3892;1,6727;True;True;0,5817;1,6118;0,2000;305,0335;91,4386;354,9654;0,3708;-0,5508;-0,2353;0,0000;-0,4062;1,6588;0,1942;310,8804;249,2777;1,3375;0,0378;-0,1877;0,1588;0,0000;
48860;0,2999999;14,4342;1,6184;0,1579;14,8159;303,2707;359,8535;True;True;0,5958;1,5765;0,1847;307,6474;92,8478;356,8723;0,7900;-1,8417;-0,6140;0,0000;-0,4039;1,6414;0,2073;309,0222;247,8204;3,1592;-0,1939;-1,0823;0,8532;0,0000;
48865;0,3249998;14,4396;1,6080;0,1951;14,0017;321,3781;358,7708;True;True;0,6374;1,5069;0,1340;318,4483;89,1727;350,7863;2,6382;-3,0668;-2,4232;0,0000;-0,4100;1,5897;0,2346;307,6990;248,2032;3,4520;-0,3087;-2,5637;0,8663;0,0000;
48870;0,3499998;14,4536;1,5703;0,2565;14,4553;333,9699;358,8775;True;True;0,7557;1,4331;0,0357;324,6177;101,1853;356,3709;6,6897;-2,3092;-4,7362;0,0000;-0,4212;1,4989;0,2481;309,2498;252,8800;356,8293;0,0216;-3,5058;-0,3224;0,0000;
48875;0,3749998;14,4589;1,5483;0,3477;15,3502;339,5380;355,8686;True;True;1,0276;1,3720;-0,1635;339,8130;141,6060;359,1397;19,7971;-5,5834;-13,1321;0,0000;-0,4249;1,3859;0,2217;325,2013;265,3828;350,0995;0,1411;-6,7724;-3,3440;0,0000;
48880;0,3999998;14,4549;1,5222;0,4926;8,0725;344,3116;357,0248;True;True;1,1652;1,1877;-0,3889;72,5420;131,4203;356,8990;-1,2994;-3,9765;-5,3128;0,0000;-0,3710;1,2734;0,1385;338,2453;264,5826;332,0986;3,2116;-3,1488;-2,9016;0,0000;
