Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
37420;0,015;14,6395;1,4941;0,0018;4,3783;266,0939;0,3382;True;True;0,2441;1,3975;0,0136;297,4633;80,5958;338,6305;-0,0362;-0,0450;0,0021;0,0000;-0,2362;1,4206;0,0244;288,0624;309,5983;342,7556;0,0135;-0,0433;-0,0084;0,0000;
37425;0,04;14,6384;1,4941;0,0009;3,9609;265,3365;0,3044;True;True;0,2443;1,3982;0,0126;297,2343;80,6904;338,0582;0,0164;0,0848;-0,1524;0,0000;-0,2377;1,4216;0,0255;289,0844;307,5642;343,6146;-0,0778;0,1036;0,0627;0,0000;
37430;0,06499999;14,6383;1,4943;0,0014;3,9476;265,9695;0,7766;True;True;0,2457;1,4029;0,0111;296,3323;85,5175;334,0971;0,1226;0,2725;0,0318;0,0000;-0,2382;1,4247;0,0255;291,6622;307,1159;344,7268;0,0857;0,1866;0,0407;0,0000;
37435;0,09;14,6362;1,4911;0,0058;4,4175;269,5583;0,2292;True;True;0,2449;1,4002;0,0184;296,3145;84,2250;336,1628;-0,1621;-0,3800;0,3659;0,0000;-0,2320;1,4226;0,0292;289,9326;312,6458;339,3023;0,2525;-0,3093;0,1968;0,0000;
37440;0,115;14,6260;1,4862;-0,0040;3,4369;266,5155;1,0956;True;True;0,2383;1,3806;0,0308;294,6300;92,2237;330,9019;-0,3387;-0,7457;0,7666;0,0000;-0,2328;1,4109;0,0431;288,0451;319,8649;331,1820;-0,2378;-0,0958;0,9514;0,0000;
37445;0,14;14,6184;1,4817;-0,0140;4,8057;260,7440;357,2654;True;True;0,2293;1,3660;0,0322;297,3884;88,7711;332,5521;0,0462;-0,3835;-0,3230;0,0000;-0,2396;1,4075;0,0578;289,4229;330,0782;316,1571;-0,3562;0,0665;0,1454;0,0000;
37450;0,165;14,6093;1,4862;0,0119;3,4903;278,9208;357,7380;True;True;0,2551;1,3607;0,0286;302,8943;96,6784;328,8969;1,9930;-0,2665;-0,3688;0,0000;-0,2322;1,4028;0,0641;288,2199;313,9153;340,9580;1,3548;-0,7600;0,9585;0,0000;
37455;0,19;14,6063;1,4859;0,0447;4,1808;292,7570;357,7154;True;True;0,2881;1,3530;0,0314;302,2098;95,4997;336,4941;1,8377;-0,3084;0,2882;0,0000;-0,2033;1,3905;0,0874;292,3787;321,0284;333,3873;1,6946;-0,6003;1,1443;0,0000;
37460;0,2149999;14,6000;1,4839;0,0707;5,8887;294,8366;357,2363;True;True;0,3166;1,3559;0,0361;301,6512;91,4172;338,9626;0,7869;0,2503;0,2662;0,0000;-0,1763;1,3823;0,0920;290,5849;303,3990;349,3792;0,6723;-0,1630;-0,0553;0,0000;
37465;0,2399999;14,5959;1,4875;0,0851;5,7323;293,1517;358,3532;True;True;0,3351;1,3594;0,0353;300,9044;94,4255;337,4350;0,6815;-0,0806;-0,1262;0,0000;-0,1649;1,3773;0,0953;297,3062;302,2093;354,5462;0,1616;-0,1869;0,2107;0,0000;
37470;0,2649999;14,5944;1,4675;0,1041;6,2950;296,4615;357,6916;True;True;0,3446;1,3395;0,0189;299,9624;117,0518;324,7363;-0,0378;-1,3943;-0,7749;0,0000;-0,1384;1,3538;0,0962;298,1378;292,9163;4,5780;2,2421;-1,5596;-0,4018;0,0000;
37475;0,2899999;14,5741;1,4388;0,1321;8,7033;298,1528;0,4881;True;True;0,3392;1,2734;0,0389;306,2095;107,9156;329,1410;-0,6459;-3,2035;1,4649;0,0000;-0,0554;1,2735;0,1086;297,2393;284,6375;29,3571;3,2193;-3,6498;1,2384;0,0000;
37480;0,3149998;14,5439;1,3885;0,1535;12,9756;296,0174;0,5997;True;True;0,2896;1,1599;0,1075;293,6242;149,3225;292,5469;-2,4815;-3,7237;2,9393;0,0000;0,0318;1,1425;0,1395;316,7206;305,0882;16,0456;3,7338;-3,9676;-0,8622;0,0000;
37485;0,3399998;14,5055;1,3501;0,1435;14,2099;292,7739;2,0830;True;True;0,1866;1,1861;0,2261;294,6654;124,9585;301,3513;-7,0581;1,8446;6,5202;0,0000;0,1166;1,1390;0,1774;298,8382;217,4319;97,0629;1,3743;2,6288;4,7480;0,0000;
37490;0,3649998;14,4852;1,3377;0,0973;8,2007;281,6852;0,3381;True;True;0,0754;1,2569;0,4962;311,1381;59,6371;34,4505;-0,6494;3,6685;8,6357;0,0000;0,1032;1,2169;0,2738;300,9284;326,5698;338,4539;-2,9030;-12,0194;-19,8615;0,0000;
37495;0,3899998;14,5066;1,3695;0,0524;8,5999;261,0577;355,3430;True;True;0,0207;1,2585;0,5446;319,7102;19,5231;75,6358;-1,4581;5,3853;-3,6452;0,0000;-0,1035;1,3702;0,5323;337,8894;309,9478;301,7319;-8,2252;5,5668;-9,6122;0,0000;
37500;0,4149998;14,5159;1,4183;0,0445;7,1940;253,6236;356,7679;True;True;-0,0397;1,3316;0,4308;310,8326;24,9685;37,1208;-0,9100;2,8191;-4,6220;0,0000;-0,2294;1,4516;0,3084;310,0291;262,9551;8,4456;-3,6889;-0,0414;-6,2086;0,0000;
37505;0,4399997;14,5202;1,4603;0,0485;4,9432;253,9806;357,5819;True;True;-0,0384;1,3590;0,3498;306,8799;25,0438;15,2141;0,2348;0,4194;-1,3041;0,0000;-0,3139;1,4217;0,2274;312,5992;271,4963;350,6805;-2,7039;-1,6247;-1,6191;0,0000;
37510;0,4649997;14,5270;1,4725;0,0497;5,1608;254,2121;357,8622;True;True;-0,0305;1,3632;0,3349;311,2661;27,4939;7,4117;0,2427;-0,5373;0,5800;0,0000;-0,3458;1,3797;0,2051;318,9768;269,6547;336,8195;-0,5830;-1,9419;0,0688;0,0000;
37515;0,4899997;14,5236;1,4794;0,0468;5,2577;255,1131;357,8372;True;True;-0,0199;1,3477;0,3391;320,2354;25,6792;10,2207;0,4888;-0,7348;-0,0638;0,0000;-0,3438;1,3256;0,1946;332,6933;272,5126;344,9450;1,4113;-1,7013;0,2641;0,0000;
37520;0,5149997;14,5183;1,4816;0,0441;4,2576;256,0036;356,3441;True;True;0,0022;1,3232;0,3218;314,4236;24,1948;13,5011;0,8624;-1,0097;-0,6441;0,0000;-0,3143;1,2883;0,2001;327,2814;278,8156;342,5294;0,9769;-0,8437;0,4125;0,0000;
37525;0,5399997;14,5107;1,4810;0,0412;5,6442;261,1497;358,2865;True;True;0,0255;1,2939;0,2929;306,5505;21,6356;17,9211;0,9880;-1,0277;-0,7917;0,0000;-0,2677;1,2827;0,2097;319,3684;286,1094;339,8717;1,3517;0,0182;0,1111;0,0000;
37530;0,5649996;14,5049;1,4821;0,0339;4,4899;261,4622;358,5540;True;True;0,0591;1,2734;0,2786;309,9545;23,9080;17,5918;0,9460;-0,4121;-0,4678;0,0000;-0,2324;1,2821;0,2071;314,5329;289,8052;340,5446;0,3637;-0,0242;-0,0315;0,0000;
37535;0,5899996;14,5038;1,4824;0,0322;4,6151;265,9133;357,6203;True;True;0,0934;1,2718;0,2578;307,5071;33,5835;12,1233;1,8051;0,1311;-1,1329;0,0000;-0,2098;1,2896;0,1934;314,3260;289,2287;349,2746;1,5127;0,3912;-0,4900;0,0000;
37540;0,6149996;14,5073;1,4822;0,0444;4,9165;277,7829;358,8535;True;True;0,1239;1,2773;0,2391;303,6270;46,4842;3,4344;1,8811;0,2859;-0,8529;0,0000;-0,1942;1,2990;0,1850;311,2577;292,6451;348,7297;0,7252;0,5290;-0,4405;0,0000;
37545;0,6399996;14,5110;1,4809;0,0489;5,7429;283,1378;359,0064;True;True;0,1525;1,2845;0,2275;303,8396;54,7594;359,4467;0,9034;0,3161;-0,4634;0,0000;-0,1893;1,3066;0,1889;314,8039;301,5225;353,0456;0,1036;0,1912;0,2140;0,0000;
37550;0,6649995;14,5113;1,4810;0,0442;6,1732;279,2879;358,6040;True;True;0,1698;1,2925;0,2243;305,4857;55,8943;1,2788;0,2465;0,1957;-0,2030;0,0000;-0,1904;1,3099;0,1923;311,3747;290,4949;358,6395;0,0232;0,2384;0,2793;0,0000;
37555;0,6899995;14,5114;1,4823;0,0424;5,5412;276,2739;358,6245;True;True;0,1808;1,2938;0,2210;302,8073;63,5907;355,3199;0,3010;-0,1562;0,2247;0,0000;-0,1871;1,3113;0,1913;315,0717;285,5484;7,1200;0,1267;-0,2496;-0,3929;0,0000;
37560;0,7149995;14,5113;1,4825;0,0421;5,5790;275,1135;359,4165;True;True;0,1870;1,2921;0,2211;303,4321;66,6208;352,8605;0,0928;-0,1050;0,1001;0,0000;-0,1758;1,3114;0,1911;314,3069;285,8259;9,5802;0,3659;-0,0431;0,0846;0,0000;
37565;0,7399995;14,5099;1,4828;0,0405;5,2081;273,3509;358,5069;True;True;0,1892;1,2933;0,2165;302,4723;69,5296;350,6148;0,2744;0,1402;-0,3447;0,0000;-0,1657;1,3115;0,1974;314,0557;295,4041;4,2549;0,2343;0,0964;0,1657;0,0000;
37570;0,7649994;14,5088;1,4825;0,0519;5,5893;278,7505;358,2919;True;True;0,2004;1,2962;0,2100;302,2633;75,0249;346,8349;0,6542;0,0745;-0,2829;0,0000;-0,1564;1,3139;0,2002;311,0245;293,4117;3,5556;0,2546;0,1092;-0,0090;0,0000;
37575;0,7899994;14,5078;1,4811;0,0588;5,9856;280,8705;358,8779;True;True;0,2158;1,2954;0,2081;305,8802;72,4780;350,8035;0,4153;-0,1106;-0,1321;0,0000;-0,1513;1,3145;0,2041;310,1178;285,5475;9,7399;0,1187;-0,1214;-0,0823;0,0000;
37580;0,8149994;14,5060;1,4819;0,0552;6,2008;273,0230;358,7639;True;True;0,2250;1,2926;0,2084;304,7733;71,6049;352,2039;0,3207;-0,0315;0,0791;0,0000;-0,1457;1,3133;0,2083;315,2798;289,3157;10,2610;0,3708;-0,1013;-0,0018;0,0000;
37585;0,8399994;14,5049;1,4813;0,0536;6,1329;267,6926;358,6780;True;True;0,2370;1,2931;0,2093;306,5992;75,1852;349,3841;0,4691;0,1030;0,1238;0,0000;-0,1400;1,3130;0,2064;316,5986;292,4137;9,7068;0,1087;-0,0513;-0,1110;0,0000;
37590;0,8649994;14,5041;1,4795;0,0526;6,5612;263,8759;359,4053;True;True;0,2481;1,2943;0,2101;310,0159;78,4144;345,4458;0,2470;0,0005;0,1372;0,0000;-0,1384;1,3130;0,1996;313,9535;288,3930;10,0043;-0,1462;-0,0232;-0,2933;0,0000;
37595;0,8899993;14,5033;1,4790;0,0484;7,0536;258,2455;359,2882;True;True;0,2472;1,2923;0,2165;309,4179;75,4611;347,9412;-0,1013;-0,0997;0,1897;0,0000;-0,1423;1,3112;0,1958;316,5775;287,2686;10,3074;-0,1109;-0,0854;-0,1632;0,0000;
37600;0,9149993;14,5029;1,4785;0,0436;7,2678;253,8560;359,6437;True;True;0,2463;1,2916;0,2226;308,6330;74,0801;349,0221;0,0263;0,0137;0,2200;0,0000;-0,1465;1,3072;0,1927;318,1852;288,9580;8,5427;-0,1509;-0,1596;0,0227;0,0000;
37605;0,9399993;14,5020;1,4783;0,0415;7,1996;252,8716;359,2560;True;True;0,2527;1,2925;0,2259;312,2228;75,6585;346,7369;0,1645;-0,0036;0,1081;0,0000;-0,1511;1,3036;0,1912;316,2093;287,1578;6,8322;-0,1672;-0,0658;-0,0319;0,0000;
37610;0,9649993;14,5023;1,4775;0,0400;7,7655;253,2809;359,6000;True;True;0,2579;1,2925;0,2243;313,7191;76,7476;346,2025;0,0265;-0,0438;-0,1310;0,0000;-0,1581;1,3027;0,1925;316,8736;288,4335;4,9981;-0,1592;0,0353;0,0083;0,0000;
