Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
108505;0,015;15,3480;1,2174;0,3516;11,9536;272,0914;357,7892;True;True;0,5790;1,3365;-0,7273;298,6682;272,5854;186,7227;-0,3685;0,1115;0,4793;0,0000;0,1016;1,3921;-0,7327;306,1715;72,3321;168,1274;-0,1516;0,0613;0,2418;0,0000;
108510;0,04;15,3436;1,2160;0,3518;12,4642;272,4859;357,9291;True;True;0,5735;1,3402;-0,7149;299,8354;273,3452;186,8912;-0,0867;0,1248;0,3141;0,0000;0,1030;1,3930;-0,7267;304,8552;72,5334;169,7617;0,1766;0,0597;0,1098;0,0000;
108515;0,06499999;15,3381;1,2178;0,3588;13,2575;272,1771;358,5957;True;True;0,5765;1,3482;-0,7055;300,5142;269,8506;187,4303;0,3786;0,4322;0,6136;0,0000;0,1145;1,3883;-0,7219;303,8980;72,3857;169,8042;0,8442;-0,3410;0,2358;0,0000;
108520;0,09;15,3311;1,2187;0,3727;12,9441;272,4597;358,9615;True;True;0,5883;1,3561;-0,6951;301,4854;270,4967;188,7487;0,4778;0,2770;0,2496;0,0000;0,1289;1,3855;-0,7167;304,4581;75,1161;167,1858;0,4522;-0,1021;0,2357;0,0000;
108525;0,115;15,3247;1,2193;0,3884;12,3261;273,0846;359,5729;True;True;0,6017;1,3597;-0,6890;300,2023;268,6134;187,6928;0,5038;-0,0831;0,2578;0,0000;0,1384;1,3861;-0,7099;304,5403;74,1111;167,1444;0,3527;0,0325;0,2072;0,0000;
108530;0,14;15,3175;1,2228;0,4102;11,3950;276,9349;358,9466;True;True;0,6208;1,3536;-0,6813;302,3076;272,3149;185,6555;0,7978;-0,1326;0,1722;0,0000;0,1487;1,3850;-0,7022;303,1932;75,4281;165,2233;0,3935;-0,1577;0,3430;0,0000;
108535;0,165;15,3064;1,2269;0,4407;10,1554;284,5845;359,4314;True;True;0,6542;1,3581;-0,6759;300,7306;274,4966;185,2979;1,3586;0,2148;0,0958;0,0000;0,1640;1,3840;-0,6864;302,1249;75,8201;166,2915;0,6195;0,0126;0,7060;0,0000;
108540;0,19;15,2995;1,2247;0,4577;9,5905;292,2877;358,7495;True;True;0,6919;1,3589;-0,6807;295,9190;275,0634;189,4731;1,2071;-0,2729;-0,3014;0,0000;0,1819;1,3790;-0,6636;302,8881;78,4777;168,0190;0,6164;-0,3136;0,8743;0,0000;
108545;0,2149999;15,2930;1,2190;0,4722;9,6319;297,7866;355,7539;True;True;0,7309;1,3289;-0,6918;288,7138;285,2394;183,7495;2,1233;-2,0833;-0,7340;0,0000;0,2111;1,3629;-0,6352;304,8703;86,8704;165,4300;1,9148;-1,1049;1,7200;0,0000;
108550;0,2399999;15,2941;1,2109;0,4980;8,3646;303,6091;356,7462;True;True;0,7783;1,2906;-0,7038;280,9486;295,4557;174,4544;2,9732;-1,8749;-0,1703;0,0000;0,2613;1,3376;-0,6098;300,1357;94,4474;165,2093;3,5609;-1,7089;1,7357;0,0000;
108555;0,2649999;15,3060;1,1929;0,5552;4,7558;305,3584;355,2298;True;True;0,8254;1,2966;-0,6844;278,6352;260,6238;216,3167;1,4551;1,1813;1,4516;0,0000;0,4090;1,3374;-0,5870;307,7901;91,3633;167,6302;7,4069;1,1647;-0,0295;0,0000;
108560;0,2899999;15,3203;1,2070;0,6329;2,5285;306,7538;355,8576;True;True;0,8900;1,3525;-0,6449;279,8030;228,2004;243,5163;2,9244;2,5665;1,6272;0,0000;0,6342;1,3636;-0,6004;311,9525;119,4490;159,6313;8,4040;1,2463;-0,7020;0,0000;
108565;0,3149998;15,3298;1,2124;0,7196;358,8654;306,5413;358,6842;True;True;0,9918;1,4195;-0,5983;279,4812;193,2484;283,0062;3,6484;1,9915;1,5415;0,0000;0,8387;1,4045;-0,5949;319,6705;131,8828;148,2700;6,2167;2,3513;0,6405;0,0000;
108570;0,3399998;15,3368;1,2281;0,8003;357,3188;305,8676;355,9038;True;True;1,0719;1,5034;-0,5607;278,2317;174,7815;302,9125;2,7765;2,4797;1,0372;0,0000;0,9821;1,4973;-0,5893;305,5987;145,9165;150,0450;3,7080;5,0606;1,0789;0,0000;
108575;0,3649998;15,3467;1,2484;0,8564;348,5390;310,0328;348,9936;True;True;1,1520;1,5498;-0,5314;286,1342;175,0293;326,3406;0,8219;-1,6027;1,3942;0,0000;1,0279;1,5687;-0,5025;283,2581;109,2240;183,1093;0,0695;0,4785;2,3952;0,0000;
108580;0,3899998;15,3477;1,2514;0,8983;340,1508;313,5656;344,5510;True;True;1,1141;1,6043;-0,5465;292,2893;166,4346;322,7522;-5,0845;0,1753;-1,7114;0,0000;1,0383;1,5985;-0,5152;280,5753;95,4309;183,8269;0,4518;0,3340;-3,5926;0,0000;
108585;0,4149998;15,3439;1,2644;0,9135;341,2393;310,9502;342,8758;True;True;1,1185;1,6248;-0,5364;277,8506;114,4460;15,8971;0,1108;1,8883;-0,2172;0,0000;1,0271;1,6340;-0,5325;300,3541;109,5100;147,0458;-1,1842;1,7498;-1,0495;0,0000;
108590;0,4399997;15,3513;1,2906;0,9033;338,3164;313,0032;346,1962;True;True;1,1022;1,6572;-0,5589;280,0023;136,4228;352,9778;-1,2361;0,3296;-0,5676;0,0000;1,0044;1,6586;-0,5713;287,2202;105,0345;175,9611;-1,0995;0,0963;-1,1910;0,0000;
108595;0,4649997;15,3446;1,2926;0,8877;342,0917;311,5671;350,7533;True;True;1,0535;1,6484;-0,6173;277,2776;180,8221;301,2426;-2,5096;-1,4357;-3,1094;0,0000;0,9766;1,6099;-0,6373;308,9258;124,0207;145,7212;-1,4073;-3,2204;-2,6389;0,0000;
108600;0,4899997;15,3196;1,2712;0,8631;353,5580;298,7855;358,7571;True;True;0,9829;1,5638;-0,6980;294,7723;237,5567;242,8157;-2,0009;-4,2528;-2,2262;0,0000;0,9082;1,5113;-0,7011;326,0882;133,4952;133,5291;-2,8637;-4,2923;-1,9450;0,0000;
108605;0,5149997;15,3002;1,2485;0,8274;3,8889;288,0229;2,4477;True;True;0,9607;1,4488;-0,7158;302,7356;265,3086;212,5022;-0,0410;-3,4601;0,3933;0,0000;0,8012;1,4243;-0,6868;313,3007;105,0153;157,3805;-4,2173;-3,0755;0,9832;0,0000;
108610;0,5399997;15,2934;1,2257;0,7745;7,7329;280,4427;3,8451;True;True;0,9609;1,3449;-0,7034;305,3490;292,9116;191,5648;-0,2411;-2,8003;0,2149;0,0000;0,6638;1,3522;-0,6573;310,0414;92,9345;165,0365;-5,1571;-2,2162;1,3024;0,0000;
108615;0,5649996;15,2907;1,2063;0,7165;7,4585;278,2196;4,0785;True;True;0,9531;1,3044;-0,6927;300,6987;324,4313;153,1907;-0,8109;-0,0468;0,2063;0,0000;0,5294;1,2980;-0,6338;311,5862;63,0684;182,7850;-4,0678;-1,1934;0,4190;0,0000;
108620;0,5899996;15,2837;1,1964;0,6477;7,6937;278,1529;2,0487;True;True;0,9168;1,3104;-0,6967;286,9240;313,9750;166,6761;-1,9435;0,5321;-0,0722;0,0000;0,4336;1,2848;-0,6325;312,9189;57,5389;186,6662;-2,7656;0,4830;-0,1294;0,0000;
108625;0,6149996;15,2731;1,2022;0,5791;9,2937;272,1783;0,7881;True;True;0,8577;1,3253;-0,6888;283,1432;301,2025;175,1780;-2,1777;0,4712;0,7374;0,0000;0,3512;1,3003;-0,6354;313,6700;65,6754;172,5446;-2,6609;0,6649;-0,2358;0,0000;
108630;0,6399996;15,2647;1,2232;0,5249;8,1627;261,7881;2,6732;True;True;0,7973;1,3495;-0,6617;287,3682;292,7026;179,5553;-1,8336;0,6614;1,0800;0,0000;0,2812;1,3286;-0,6490;316,3347;54,8151;177,1369;-2,1078;1,7361;-0,7099;0,0000;
108635;0,6649995;15,2543;1,2511;0,5044;5,9248;267,7355;358,6098;True;True;0,7680;1,3638;-0,6449;287,6929;298,4929;169,0235;-0,6402;0,3269;0,3072;0,0000;0,2409;1,3533;-0,6702;311,4963;44,9610;190,7275;-0,9594;0,3438;-0,7048;0,0000;
108640;0,6899995;15,2547;1,2176;0,4862;2,4991;276,9657;0,7337;True;True;0,7510;1,3646;-0,6435;286,1346;286,4427;188,6964;-0,9389;-0,4246;-0,4929;0,0000;0,2201;1,3505;-0,6871;306,8302;52,0679;180,6666;-0,4926;-0,8451;-0,5799;0,0000;
108645;0,7149995;15,2519;1,2002;0,4462;4,6285;267,5787;358,6404;True;True;0,7186;1,3342;-0,6633;282,3875;278,0710;191,1710;-0,8080;-1,0307;-0,2622;0,0000;0,2058;1,3065;-0,7010;317,3459;47,4720;177,4781;-0,5645;-1,0545;-0,3748;0,0000;
108650;0,7399995;15,2534;1,2157;0,4086;9,3636;255,4596;356,9620;True;True;0,6899;1,3169;-0,6593;285,0770;285,7492;179,0253;-0,7521;0,0435;0,1802;0,0000;0,1900;1,3054;-0,7088;313,0131;54,0058;175,3834;-0,7524;0,1221;-0,1374;0,0000;
108655;0,7649994;15,2607;1,2216;0,3864;11,1089;251,1845;358,1081;True;True;0,6780;1,3343;-0,6446;287,9297;297,9220;173,4896;-0,5014;0,9300;-0,0486;0,0000;0,1750;1,3166;-0,7097;318,5613;39,5095;181,1206;-0,0883;0,6446;-0,2576;0,0000;
108660;0,7899994;15,2672;1,2194;0,3775;10,3070;249,5927;358,5640;True;True;0,6617;1,3479;-0,6493;287,1498;288,8023;178,2197;-0,5977;0,2232;-0,1842;0,0000;0,1788;1,3297;-0,7155;320,8858;44,2498;183,3658;0,2482;0,1783;-0,0739;0,0000;
108665;0,8149994;15,2716;1,2199;0,3807;11,3562;252,0015;0,9745;True;True;0,6437;1,3458;-0,6538;290,0659;279,0828;182,4821;-0,4593;-0,2797;0,0120;0,0000;0,1835;1,3238;-0,7136;319,1685;47,2643;181,8432;0,1675;-0,6962;0,2180;0,0000;
108670;0,8399994;15,2745;1,2207;0,3904;10,3691;256,4907;0,0330;True;True;0,6375;1,3390;-0,6479;293,1074;283,5114;179,3015;-0,0774;-0,1704;0,2308;0,0000;0,1918;1,3129;-0,7046;319,8214;49,1755;183,9874;0,3807;-0,4176;0,4035;0,0000;
108675;0,8649994;15,2739;1,2258;0,3995;7,5374;261,9857;1,0403;True;True;0,6371;1,3392;-0,6402;294,9070;286,9772;176,8057;0,0919;0,1668;0,2065;0,0000;0,1956;1,3045;-0,6914;321,9319;51,8215;183,0891;-0,1296;-0,1477;0,4297;0,0000;
108680;0,8899993;15,2750;1,2262;0,3999;6,8358;263,4539;0,5086;True;True;0,6363;1,3399;-0,6364;295,1677;289,6446;175,0176;-0,4124;-0,1187;0,0024;0,0000;0,1936;1,3062;-0,6822;321,9001;54,5843;182,0852;-0,1347;0,2663;0,2575;0,0000;
