Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
18325;0,025;14,4947;1,4854;0,0005;12,8398;267,6194;0,6579;True;True;0,3454;1,3265;0,4155;302,0805;11,3957;88,3087;0,1086;-0,1078;-0,0032;0,0000;-0,3526;1,3144;0,4153;300,9953;325,1634;302,5478;0,0893;0,0493;0,0242;0,0000;
18330;0,04999999;14,4925;1,4852;-0,0012;12,9264;267,0056;0,6740;True;True;0,3466;1,3214;0,4175;302,6840;13,0748;86,6306;-0,0775;-0,1356;0,0503;0,0000;-0,3509;1,3107;0,4171;301,3545;327,2688;300,4074;-0,0218;-0,1339;0,0458;0,0000;
18335;0,075;14,4906;1,4851;-0,0021;12,8245;267,5848;0,8861;True;True;0,3417;1,3188;0,4197;302,6246;12,8820;86,2260;-0,2475;-0,0560;0,1131;0,0000;-0,3515;1,3071;0,4189;301,9860;327,5925;300,1839;-0,0088;-0,0466;0,0329;0,0000;
18340;0,1;14,4881;1,4849;-0,0041;12,8636;266,8702;0,6129;True;True;0,3330;1,3203;0,4230;302,4297;11,4540;87,1983;-0,3941;0,2548;0,0397;0,0000;-0,3529;1,3060;0,4209;301,8473;327,6073;300,0379;-0,1026;0,0030;0,0714;0,0000;
18345;0,125;14,4840;1,4863;-0,0077;12,1301;265,3108;0,8697;True;True;0,3120;1,3311;0,4246;300,4677;11,2027;84,0851;-1,4721;0,5864;0,1545;0,0000;-0,3562;1,3135;0,4153;301,7649;321,0711;307,4530;-0,1246;0,4084;-0,4317;0,0000;
18350;0,15;14,4739;1,4856;-0,0172;10,4255;260,9866;0,8102;True;True;0,2780;1,3343;0,4348;298,1091;7,3928;84,2402;-1,6555;-0,1119;0,4908;0,0000;-0,3686;1,3179;0,4024;296,9962;324,5574;300,5787;-0,9986;0,2064;-0,6791;0,0000;
18355;0,175;14,4633;1,4731;-0,0389;8,0884;257,0340;0,6289;True;True;0,2204;1,3218;0,4439;295,5240;4,7553;81,1052;-2,3388;-0,7958;0,3269;0,0000;-0,4278;1,3355;0,3745;296,0993;300,4673;324,0840;-2,8476;1,0534;-1,0972;0,0000;
18360;0,1999999;14,4543;1,4361;-0,0815;2,7074;252,5053;0,7738;True;True;0,1443;1,2964;0,4457;292,0593;354,7695;85,4532;-3,1224;-0,7968;-0,2813;0,0000;-0,5212;1,3848;0,3212;290,2740;260,1100;357,8063;-3,9254;2,3855;-2,6583;0,0000;
18365;0,2249999;14,4464;1,3908;-0,1522;0,7169;247,3944;2,9327;True;True;0,0594;1,2836;0,4279;289,6430;340,2741;96,3909;-2,8192;-0,1004;-0,9011;0,0000;-0,6471;1,4456;0,2570;293,8463;222,5561;27,5045;-5,0504;2,1050;-1,8359;0,0000;
18370;0,2499999;14,4448;1,4011;-0,2630;1,8160;244,3378;2,3593;True;True;-0,0163;1,2871;0,4047;290,0397;333,6396;108,1168;-2,3471;0,3859;-0,5964;0,0000;-0,8062;1,5263;0,2217;303,6169;216,9804;26,4735;-5,5061;3,2704;-0,8885;0,0000;
