Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
206385;0,02;14,6164;1,3929;0,0841;12,4733;269,3941;359,7088;True;True;0,4120;1,2996;0,1426;299,4191;332,6212;122,7440;1,2724;0,0465;-0,0700;0,0000;-0,2696;1,2877;0,1671;295,3811;318,2940;313,0668;1,1075;-0,1537;0,3163;0,0000;
206390;0,04499999;14,6126;1,3922;0,0739;12,1583;259,5574;359,1425;True;True;0,4550;1,2987;0,1418;297,3572;344,6065;112,6997;2,6458;-0,1034;0,0133;0,0000;-0,2336;1,2773;0,1750;284,8117;2,0767;261,0421;2,2226;-0,8848;0,4470;0,0000;
206395;0,06999999;14,6064;1,3912;0,0613;13,0877;252,8833;359,4630;True;True;0,4860;1,2920;0,1459;297,9282;355,0313;106,6562;0,4494;-0,2439;0,1482;0,0000;-0,2209;1,2683;0,1765;288,0182;352,7692;276,6162;-0,2202;-0,1683;0,0068;0,0000;
206400;0,09500001;14,5970;1,3893;0,0481;12,6912;255,5305;0,4652;True;True;0,4734;1,2895;0,1474;297,5656;359,1976;102,3618;-1,2484;-0,0112;-0,0564;0,0000;-0,2428;1,2590;0,1806;289,2310;344,6188;283,7966;-1,0261;-0,1788;0,0986;0,0000;
206405;0,12;14,5926;1,3868;0,0384;12,6742;262,8772;0,8943;True;True;0,4232;1,2889;0,1435;296,3038;351,9157;106,6971;-1,9340;0,0048;-0,2006;0,0000;-0,2795;1,2584;0,1867;289,6531;336,0440;292,7463;-1,3602;0,0916;0,2332;0,0000;
206410;0,145;14,5922;1,3857;0,0185;12,1787;262,7923;0,8563;True;True;0,3693;1,2884;0,1478;294,5464;349,0960;102,2271;-1,9195;-0,0676;0,3088;0,0000;-0,3143;1,2693;0,1801;288,7739;318,0680;310,1873;-0,9570;0,6104;-0,5728;0,0000;
206415;0,17;14,5918;1,3877;-0,0050;9,8725;250,6414;0,9968;True;True;0,3136;1,2970;0,1604;294,1450;328,9008;118,3785;-1,6986;0,6053;0,4567;0,0000;-0,3428;1,2932;0,1516;285,8456;292,5357;331,7936;-0,8425;0,9536;-1,3457;0,0000;
206420;0,1949999;14,5878;1,3823;-0,0189;8,4437;249,7739;1,8843;True;True;0,2664;1,3119;0,1714;290,0068;323,8488;115,0706;-1,6443;0,3938;0,2638;0,0000;-0,3546;1,3156;0,1163;290,5088;268,5620;357,0180;0,1363;0,3880;-0,9317;0,0000;
206425;0,2199999;14,5838;1,3717;-0,0458;8,3546;250,2507;0,6267;True;True;0,2182;1,3189;0,1722;286,8070;317,4033;119,1643;-1,6738;-0,0032;-0,0435;0,0000;-0,3571;1,3129;0,1056;285,1226;265,6634;5,9038;-0,7347;-0,4675;0,2486;0,0000;
206430;0,2449999;14,5806;1,3497;-0,0856;6,1451;248,7197;1,2102;True;True;0,1626;1,3014;0,1705;286,3989;304,2381;132,5815;-3,0664;-1,2016;0,0166;0,0000;-0,3987;1,2930;0,1202;281,9647;269,0538;0,4425;-2,8319;-0,9831;0,4329;0,0000;
