Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
65870;0,025;14,5246;1,5222;0,2555;14,5314;273,2589;0,7874;True;True;0,5312;1,7403;0,2067;277,2691;278,8969;177,4893;0,1845;0,0135;0,0507;0,0000;-0,0347;1,7562;0,2452;302,6641;52,2412;229,0556;0,2497;-0,0421;0,1138;0,0000;
65875;0,04999999;14,5236;1,5219;0,2587;14,9150;274,1097;0,6900;True;True;0,5360;1,7408;0,2080;276,7075;277,3118;179,1387;0,1115;0,0230;0,0617;0,0000;-0,0297;1,7563;0,2514;303,4643;52,1892;229,3601;0,0539;0,0241;0,2764;0,0000;
65880;0,075;14,5117;1,4351;0,3109;14,7908;273,7129;0,1585;True;True;0,5381;1,7390;0,2105;276,5427;274,7716;181,4784;-0,0132;-0,1864;0,1166;0,0000;-0,0265;1,7563;0,2563;304,0729;49,0716;231,1720;0,2223;-0,0913;0,0093;0,0000;
65885;0,1;14,5085;1,4352;0,3117;14,5062;272,9479;0,3487;True;True;0,5899;1,6544;0,2277;277,9005;273,1549;183,9682;0,0271;0,0505;0,1991;0,0000;-0,0280;1,7560;0,2571;304,3219;51,3217;228,9508;-0,2343;0,1518;0,1335;0,0000;
65890;0,125;14,5054;1,4356;0,3122;14,1306;272,2543;0,2062;True;True;0,5882;1,6559;0,2296;277,1630;261,4219;193,9900;-0,1429;-0,0329;0,1025;0,0000;0,0184;1,6726;0,2683;303,7544;50,7258;228,9462;-0,0451;0,0576;-0,0702;0,0000;
65895;0,15;14,5006;1,4346;0,3108;13,5808;270,9691;359,7958;True;True;0,5818;1,6526;0,2349;277,8079;257,9896;197,1908;-0,3064;-0,1426;0,2306;0,0000;0,0165;1,6716;0,2673;302,2622;52,4302;228,7448;-0,1493;-0,1559;0,0424;0,0000;
65900;0,175;14,4928;1,4309;0,3084;12,2717;268,5987;359,6852;True;True;0,5692;1,6469;0,2432;279,4184;247,7077;206,2881;-0,6338;-0,3441;0,2463;0,0000;0,0116;1,6644;0,2701;301,1035;52,3312;228,7741;-0,2213;-0,2879;0,1152;0,0000;
65905;0,1999999;14,4823;1,4210;0,3058;10,7212;267,5270;359,6070;True;True;0,5508;1,6252;0,2492;278,2487;227,1492;224,4493;-1,0724;-1,7983;0,0823;0,0000;0,0102;1,6489;0,2802;295,2897;47,0139;241,2121;0,2263;-1,4549;0,7673;0,0000;
65910;0,2249999;14,4633;1,3944;0,3093;9,0232;267,0097;358,2325;True;True;0,5448;1,5459;0,2394;279,8508;124,6871;304,8450;0,2355;-4,2984;0,2183;0,0000;0,0432;1,5644;0,2806;286,6264;54,4510;251,7587;1,7285;-4,0967;-0,3473;0,0000;
65915;0,2499999;14,4425;1,3771;0,3352;7,1060;267,4476;358,9111;True;True;0,5538;1,4554;0,2586;280,2672;128,2348;291,7738;0,5720;-1,7286;1,5350;0,0000;0,0954;1,4524;0,3124;277,3737;42,3616;284,4736;2,0992;-3,2020;1,7650;0,0000;
